SCC.Lane.Deviation.2,VDS.Veh.Speed
0,0.001317187
0,0.001574498
-0.563483298,0.001618212
-0.56349808,0.001641186
-0.563509047,0.001654538
-0.56351614,0.001659049
-0.563519895,0.001658752
-0.563521147,0.001656521
-0.56352067,0.001651145
-0.563518941,0.001645169
-0.563516378,0.001637949
-0.563513219,0.00162955
-0.563509703,0.001622451
-0.563506186,0.001616839
-0.563502729,0.001613554
-0.563499391,0.001607485
-0.563496351,0.001601709
-0.56349355,0.001597538
-0.563491166,0.001595437
-0.563489437,0.001591633
-0.563488066,0.001590514
-0.563487113,0.001588782
-0.563486636,0.001587412
-0.563486516,0.001586798
-0.563486278,0.001585968
-0.563486516,0.001581884
-0.563486934,0.001579715
-0.56348753,0.001578281
-0.563488305,0.001575664
-0.563489318,0.001573264
-0.563490331,0.001570435
-0.563491344,0.001565431
-0.563492417,0.001561619
-0.56349349,0.001557164
-0.563494623,0.001552034
-0.563495755,0.00154632
-0.563496947,0.001542245
-0.563497961,0.001535527
-0.563498914,0.001530323
-0.563499808,0.001526136
-0.561547458,0.001520642
-0.561548054,0.001514656
-0.561548531,0.001508769
-0.561548889,0.001502992
-0.561549127,0.001497634
-0.561549366,0.00149391
-0.561549544,0.001486009
-0.561549604,0.001479893
-0.561549604,0.00147203
-0.561549664,0.001463011
-0.561549842,0.001458711
-0.56155014,0.001453915
-0.561550617,0.001448466
-0.561550975,0.001442507
-0.561551273,0.00143707
-0.561551511,0.001434267
-0.56155175,0.001428377
-0.561551929,0.001423098
-0.561551988,0.001418914
-0.561552107,0.00141483
-0.561552227,0.001410614
-0.561552227,0.001406366
-0.561552286,0.001401447
-0.561552346,0.001395838
-0.561552405,0.001394201
-0.561552525,0.00138888
-0.561552644,0.001385653
-0.561552763,0.001380417
-0.561552942,0.001375145
-0.56155318,0.001369819
-0.561553419,0.001364668
-0.561553776,0.001360062
-0.561554134,0.001354758
-0.561554492,0.001350599
-0.561554909,0.001348012
-0.561555326,0.001343103
-0.561555743,0.001339338
-0.561556041,0.001335783
-0.561556339,0.001331344
-0.561556578,0.001325626
-0.561556697,0.001322019
-0.561556935,0.001318175
-0.561557114,0.001313244
-0.561557531,0.001305187
-0.561557829,0.001301104
-0.561558187,0.001296
-0.561558604,0.001291504
-0.561559081,0.001287186
-0.561559498,0.001281592
-0.561559856,0.001276867
-0.561560214,0.001273346
-0.561560571,0.001269236
-0.561560929,0.001265581
-0.561561167,0.001260282
-0.561561406,0.001257964
-0.561561525,0.001254593
-0.559608519,0.001248111
-0.559608638,0.001243019
-0.559608757,0.001237637
-0.559608996,0.001233092
-0.559609294,0.00123072
-0.559609711,0.001226258
-0.559610069,0.001219842
-0.559610307,0.001215905
-0.559610605,0.001211144
-0.559610963,0.00120699
-0.559611261,0.001203019
-0.559611559,0.001199711
-0.559611857,0.001195324
-0.559612095,0.001191929
-0.559612334,0.001190647
-0.559612572,0.001185231
-0.559612691,0.00118257
-0.559612751,0.001176919
-0.55961287,0.001170796
-0.55961293,0.001167368
-0.559613168,0.001163485
-0.559613526,0.001159635
-0.559613943,0.001155607
-0.55961436,0.00115098
-0.559614718,0.001146883
-0.559615016,0.001142058
-0.559615374,0.001138907
-0.559615731,0.001136068
-0.559616089,0.001134221
-0.559616327,0.001130248
-0.559616566,0.001126891
-0.559616685,0.001123107
-0.559616864,0.001119322
-0.559616923,0.001114661
-0.559617043,0.001110895
-0.559617162,0.001107033
-0.5596174,0.001102405
-0.559617698,0.001098483
-0.559618115,0.001093343
-0.559618473,0.001089698
-0.559618831,0.001085199
-0.559619248,0.001081585
-0.559619665,0.001077549
-0.559620023,0.001074913
-0.55962038,0.001070746
-0.559620619,0.001067678
-0.559620857,0.001065522
-0.559621096,0.00106186
-0.559621394,0.001059141
-0.559621513,0.001056153
-0.559621632,0.00105114
-0.559621751,0.001047831
-0.559621811,0.001042321
-0.559622049,0.001037789
-0.559622407,0.001033521
-0.559622824,0.001030852
-0.559623241,0.001027172
-0.559623659,0.001023409
-0.559624016,0.001020205
-0.559624314,0.001018035
-0.559624612,0.001012288
-0.559624851,0.001009367
-0.55962503,0.001006542
-0.559625328,0.001004081
-0.559625506,0.001000139
-0.559625685,0.000997364
-0.559625864,0.000994858
-0.559626043,0.0009914
-0.559626162,0.000988187
-0.557673097,0.000983824
-0.557673275,0.000978633
-0.557673514,0.000974875
-0.557673931,0.000971909
-0.557674348,0.00096873
-0.557674825,0.000966319
-0.557675183,0.000962818
-0.55767554,0.000959081
-0.557675838,0.000956068
-0.557676077,0.000952768
-0.557676315,0.000950312
-0.557676554,0.000946568
-0.557676792,0.000945584
-0.557676971,0.000942451
-0.55767715,0.000939405
-0.557677209,0.000934676
-0.557677329,0.000930728
-0.557677448,0.000927617
-0.557677746,0.000925438
-0.557678103,0.00092216
-0.557678521,0.000917277
-0.557678819,0.000914312
-0.557679117,0.000912054
-0.557679474,0.000909239
-0.557679772,0.000905783
-0.557680011,0.000903102
-0.557680309,0.000901591
-0.557680488,0.000898655
-0.557680726,0.000895081
-0.557680905,0.000891861
-0.557681024,0.000887859
-0.557681203,0.000884762
-0.557681441,0.000882098
-0.557681978,0.000878849
-0.557681978,0.000876406
-0.557682276,0.000873386
-0.557682633,0.000868312
-0.557682991,0.000865823
-0.557683051,0.000863788
-0.557683706,0.000862303
-0.557684004,0.000859517
-0.557684243,0.000856389
-0.557684362,0.00085368
-0.557684481,0.000851128
-0.5576846,0.000847627
-0.55768472,0.000843083
-0.557684898,0.000841311
-0.557685077,0.000839074
-0.557685435,0.00083546
-0.557685733,0.000832366
-0.55768609,0.000829822
-0.557686448,0.000827164
-0.557686746,0.000823472
-0.557687044,0.000820465
-0.557687283,0.000817159
-0.557687581,0.000814315
-0.557687879,0.000813595
-0.557688177,0.000809151
-0.557688415,0.000807087
-0.557688594,0.000804873
-0.557688832,0.00080046
-0.557689011,0.000796825
-0.55768919,0.00079508
-0.557689428,0.000794027
-0.557689786,0.000790261
-0.557690144,0.000786585
-0.557690442,0.000783783
-0.557690799,0.00078113
-0.557691097,0.000779402
-0.557691395,0.000776171
-0.557691634,0.000773306
-0.557691872,0.000771054
-0.557692051,0.000768198
-0.55769223,0.000765806
-0.557692409,0.0007634
-0.557692587,0.000761304
-0.557692766,0.000759197
-0.557692885,0.000756051
-0.557693005,0.000753306
-0.557693183,0.000750409
-0.557693481,0.000747446
-0.557693779,0.000744622
-0.557694137,0.000742844
-0.557694435,0.00073903
-0.557694793,0.00073749
-0.557695031,0.000734756
-0.557695329,0.000732366
-0.557695568,0.0007302
-0.557695806,0.000728089
-0.555742919,0.00072539
-0.555743158,0.000723614
-0.555743396,0.000721533
-0.555743575,0.000716949
-0.555743694,0.00071426
-0.555743933,0.000710441
-0.55574429,0.000708741
-0.555744708,0.000707501
-0.555745125,0.000704407
-0.555745542,0.000701303
-0.55574578,0.000699197
-0.555746078,0.00069728
-0.555746317,0.00069535
-0.555746555,0.000694289
-0.555746734,0.000692043
-0.555746973,0.00068979
-0.555747092,0.000685819
-0.555747211,0.000683162
-0.555747271,0.000681417
-0.555747449,0.000678558
-0.555747628,0.000676016
-0.555747807,0.000673779
-0.555748045,0.000671358
-0.555748343,0.000669974
-0.555748701,0.00066779
-0.555749059,0.000665448
-0.555749297,0.000663166
-0.555749536,0.000661107
-0.555749774,0.000656331
-0.555750012,0.000655672
-0.555750251,0.000654915
-0.555750489,0.000654962
-0.555750668,0.000653328
-0.555750847,0.000649068
-0.555750906,0.000645581
-0.555750966,0.000642341
-0.555751145,0.000639352
-0.555751503,0.000639847
-0.555751979,0.000636605
-0.555752337,0.000633697
-0.555752635,0.000636099
-0.555752933,0.000633576
-0.555753231,0.000628886
-0.55575335,0.000626661
-0.555753529,0.000626326
-0.555753708,0.000629453
-0.555753887,0.00062311
-0.555754006,0.000620925
-0.555754006,0.00061683
-0.555754125,0.000613311
-0.555754423,0.000610912
-0.555754781,0.000607897
-0.555755198,0.000606246
-0.555755615,0.000604185
-0.555756032,0.000601971
-0.55575639,0.000600492
-0.555756748,0.000599522
-0.555756986,0.000597391
-0.555757225,0.000595036
-0.555757463,0.000592705
-0.555757582,0.000590682
-0.555757761,0.000587523
-0.55575794,0.000586448
-0.555758119,0.000583409
-0.555758357,0.000580122
-0.555758476,0.000578398
-0.555758774,0.000575815
-0.555759192,0.000573465
-0.555759609,0.000571375
-0.555759668,0.000570101
-0.555760384,0.000570252
-0.555760682,0.000567556
-0.55576092,0.000564456
-0.555761039,0.000559577
-0.555761158,0.000559387
-0.555761337,0.000558295
-0.555761576,0.000557045
-0.555761814,0.000554299
-0.555761993,0.000552842
-0.555762172,0.000550375
-0.555762291,0.000549448
-0.55576247,0.000547008
-0.555762649,0.000546057
-0.555762827,0.000543513
-0.555762947,0.000543314
-0.555763066,0.000540496
-0.555763364,0.000538913
-0.555763662,0.000536829
-0.55576396,0.000534956
-0.555764258,0.00053216
-0.555764556,0.000529906
-0.555764794,0.000528209
-0.555765033,0.000526806
-0.555765331,0.000525594
-0.555765569,0.00052843
-0.555765808,0.000524527
-0.555765927,0.000522068
-0.555765927,0.000519185
-0.555765986,0.000517061
-0.555766165,0.000515368
-0.555766404,0.000514567
-0.555766642,0.000512051
-0.555766881,0.000509461
-0.555767179,0.000505212
-0.555767536,0.00050439
-0.555767953,0.000501871
-0.55576843,0.000498731
-0.555768847,0.000497648
-0.555769265,0.000496756
-0.555769682,0.00049635
-0.55577004,0.000495454
-0.555770278,0.000493518
-0.555770457,0.000489976
-0.555770516,0.000489582
-0.555770636,0.000489156
-0.555770755,0.000488684
-0.555770814,0.000486326
-0.555770814,0.000485023
-0.555770874,0.000483775
-0.555770934,0.000481359
-0.555770934,0.000482056
-0.555771112,0.000479459
-0.555771351,0.000475607
-0.55577153,0.000473951
-0.555771708,0.00047268
-0.555772066,0.000471864
-0.555772364,0.00047171
-0.553819537,0.000467284
-0.553819776,0.000466848
-0.553819954,0.000465847
-0.553820252,0.000464759
-0.553820491,0.000462414
-0.553820729,0.000461976
-0.553820908,0.000458875
-0.553821206,0.000458172
-0.553821385,0.000457585
-0.553821623,0.000455003
-0.553821921,0.000452528
-0.553822219,0.000452692
-0.553822577,0.000449581
-0.553822875,0.000447466
-0.553823113,0.000445038
-0.553823411,0.00044381
-0.553823709,0.00044244
-0.553824008,0.000439861
-0.553824246,0.000439189
-0.553824484,0.000437505
-0.553824723,0.000435967
-0.553824961,0.000434272
-0.55382514,0.000433444
-0.553825319,0.000432366
-0.553825438,0.00043178
-0.553825557,0.000431577
-0.553825676,0.000428831
-0.553825736,0.000426698
-0.553825855,0.000423983
-0.553826094,0.00042217
-0.553826392,0.000419616
-0.55382669,0.00041855
-0.553826988,0.00041814
-0.553827345,0.000417572
-0.553827643,0.000416465
-0.553827882,0.00041435
-0.553828061,0.000414577
-0.55382818,0.000412058
-0.553828299,0.000412099
-0.553828359,0.000411338
-0.553828478,0.000409345
-0.553828597,0.000408235
-0.553828657,0.000406637
-0.553828835,0.000405356
-0.553829074,0.000404395
-0.553829372,0.000403003
-0.55382961,0.000399343
-0.553829849,0.000398793
-0.553830087,0.000397589
-0.553830445,0.000397632
-0.553830683,0.000396619
-0.553830922,0.000395616
-0.5538311,0.000393958
-0.553831279,0.000393302
-0.553831458,0.000392086
-0.553831577,0.000388323
-0.553831756,0.000387774
-0.553831935,0.000386443
-0.553832233,0.0003852
-0.55383265,0.00038256
-0.553832948,0.000381146
-0.553833306,0.000379339
-0.553833365,0.000378105
-0.553833961,0.000377532
-0.55383426,0.000375636
-0.553834558,0.000374154
-0.553834736,0.000371559
-0.553834915,0.000370115
-0.553835094,0.000370086
-0.553835332,0.000368953
-0.553835511,0.000367794
-0.55383563,0.00036782
-0.55383575,0.000366469
-0.553835869,0.000364386
-0.553835928,0.000361813
