daqname,subject,instance,time,road_type,oncoming,direction,heading_local,heading,width,curvature,speed,distance,steer,throttle,brake,lat_dist,front_left_x,front_left_y,front_center_x,front_center_y,front_right_x,front_right_y,pre_phase,ld_phase,post_phase,exceed
20140104105417.daq,123,2,77.8,1,0,left,-0.867022979299804,-172.649322509766,16,-0.000273133654880057,65.7533416748047,0,7.91009950637817,0.458661407232285,-0.0514539666473866,-3.29954190920471,-2584.54083113704,-9481.79627286921,-2584.85589965547,-9479.35392026319,-2585.1709681739,-9476.91156765718,1,0,0,0
20140104105417.daq,123,2,77.9,1,0,left,-0.648397739635527,-172.890869140625,16,-0.000268912514126476,65.8382949829102,9.65002819641268,7.25092458724976,0.462328642606735,-0.0229787509888411,-3.46230805587416,-2594.1164717382,-9483.06346321255,-2594.42124105625,-9480.61980405338,-2594.7260103743,-9478.17614489421,1,0,0,0
20140104105417.daq,123,2,78,1,0,left,-0.448941785428559,-173.114776611328,16,-0.000264696538719224,65.9266967773438,19.3127799460481,6.19624471664429,0.489992141723633,-0.0324706435203552,-3.61492564843379,-2603.70882595206,-9484.3004011272,-2604.00404333641,-9481.85556961575,-2604.29926072076,-9479.41073810429,1,0,0,0
20140104105417.daq,123,2,78.1,1,0,left,-0.281911034879045,-173.305053710938,16,-0.000260485080297687,66.018928527832,28.9887545006641,4.92183971405029,0.517114639282227,-0.0324706435203552,-3.7352520603532,-2613.31740020754,-9485.50412279767,-2613.60449678661,-9483.05832436409,-2613.89159336569,-9480.61252593051,1,0,0,0
20140104105417.daq,123,2,78.2,-2,0,left,0.0173662881349514,-173.442108154297,16,-0.00025628178881095,66.1181030273438,38.6787202268097,3.38376474380493,0.534710764884949,-0.0704375207424164,-3.80640207157298,-2622.94184157576,-9486.67773992801,-2623.22308686375,-9484.23126174265,-2623.50433215174,-9481.7847835573,1,0,0,0
20140104105417.daq,123,2,78.3,-2,0,left,-0.0845001195802126,-173.532836914063,16,-0.000252093693226564,66.2260131835938,48.3838937359305,2.59275484085083,0.53384256362915,-0.0799291878938675,-3.85532865954695,-2632.58238889213,-9487.82378995669,-2632.85975979279,-9485.37686948253,-2633.13713069345,-9482.92994900836,1,0,0,0
20140104105417.daq,123,2,78.4,-2,0,left,-0.119598326521952,-173.595550537109,16,-0.000247930122615441,66.3387908935547,58.1052961908999,2.59275484085083,0.532530188560486,-0.0514539666473866,-3.91049849795938,-2642.24011705275,-9488.94608855079,-2642.51480948845,-9486.49886594358,-2642.78950192416,-9484.05164333638,1,0,0,0
20140104105417.daq,123,2,78.5,-2,0,left,-0.111138850944258,-173.643341064453,16,-0.000243801370684297,66.4540176391602,67.8434375670349,2.41697478294373,0.529819190502167,-0.0609456300735474,-3.95224562889468,-2651.91617341098,-9490.05070620896,-2652.18882451796,-9487.60325533156,-2652.46147562495,-9485.15580445416,1,0,0,0
20140104105417.daq,123,2,78.6,-2,0,left,-0.134730347998044,-173.686737060547,16,-0.000239717407087631,66.5705184936523,77.5985828761959,2.37302994728088,0.486502766609192,-0.00399542786180973,-3.98666871653785,-2661.61088902477,-9491.14093220861,-2661.88168634706,-9488.69327552646,-2662.15248366935,-9486.2456188443,1,0,0,0
20140104105417.daq,123,2,78.7,-2,0,left,-0.187637171758297,-173.725830078125,16,-0.000235686794154591,66.6871643066406,87.3708421514584,2.28513979911804,0.418581813573837,-0.0229787509888411,-4.02185644490373,-2671.32402319443,-9492.2206677359,-2671.59315041308,-9489.77282685798,-2671.86227763173,-9487.32498598006,1,0,0,0
20140104105417.daq,123,2,78.8,-2,0,left,-0.264247256539022,-173.767120361328,16,-0.000231715747362972,66.8020095825195,97.1601091829307,2.28513979911804,0.0821755453944206,-0.041962306946516,-4.06630611025792,-2681.05504650594,-9493.29343738871,-2681.32240961492,-9490.84540319953,-2681.58977272391,-9488.39736901036,1,0,0,0
20140104105417.daq,123,2,78.9,-2,0,left,-0.376836625009901,-173.79833984375,16,-0.000227807591698607,66.9000396728516,106.965385653594,1.66990995407104,0,-0.0229787509888411,-4.12778887947076,-2690.80284460211,-9494.36191523795,-2691.06887377985,-9491.91373573064,-2691.33490295758,-9489.46555622333,1,0,0,0
20140104105417.daq,123,2,79,-2,0,left,-0.531911574231657,-173.816040039063,16,-0.000223962807399914,66.9328079223633,116.780911984793,0.966789960861206,0,-0.0514539666473866,-4.20910576040445,-2700.56169598138,-9495.42435139185,-2700.82696883845,-9492.97608981785,-2701.09224169552,-9490.52782824384,1,0,0,0
