daqname,subject,instance,time,road_type,oncoming,direction,heading_local,heading,width,curvature,speed,distance,steer,throttle,brake,lat_dist,front_left_x,front_left_y,front_center_x,front_center_y,front_right_x,front_right_y,pre_phase,ld_phase,post_phase,exceed
20130620105350.daq,35,2,714.85,1,0,right,0.817428588867188,179.182571411133,12,0.0001,49.2130241394043,0,2.90036988258362,0.138909697532654,0.0306496117264032,2.77835013181964,-11235.6187574138,-47134.1548137024,-11235.5836252624,-47131.6924733207,-11235.5484931111,-47129.230132939,1,0,0,0
20130620105350.daq,35,2,714.95,1,0,right,0.921005249023438,179.078994750977,12,0.0001,49.1369209289551,7.21246179088848,3.42770981788635,0.13866063952446,-0.0263008214533329,2.87404252313028,-11242.8331204764,-47134.0507193379,-11242.7935370799,-47131.5884464899,-11242.7539536833,-47129.1261736418,1,0,0,0
20130620105350.daq,35,2,715.05,1,0,right,1.03016662597656,178.969833374023,12,0.0001,49.0533180236816,14.4131523741235,3.0322048664093,0.138718500733376,-0.0168089270591736,2.98986210912149,-11250.0358842348,-47133.9345543088,-11249.991609728,-47131.4723613449,-11249.9473352212,-47129.010168381,1,0,0,0
20130620105350.daq,35,2,715.15,1,0,right,1.11735534667969,178.88264465332,12,0.0001,48.9672584533691,21.6013543900226,1.36229491233826,0.139279693365097,-0.0452841445803642,3.11237333197449,-11257.2244498303,-47133.81194001,-11257.1764285828,-47131.3498172708,-11257.1284073352,-47128.8876945315,1,0,0,0
20130620105350.daq,35,2,715.25,1,0,right,1.15892791748047,178.84107208252,12,0.0001,48.8808555603027,28.7769868057585,-0.351559966802597,0.141624346375465,0.0116660567000508,3.24798014092978,-11264.3982722089,-47133.6765388581,-11264.3484645114,-47131.2144516101,-11264.298656814,-47128.7523643622,1,0,0,0
20130620105350.daq,35,2,715.35,1,0,right,1.16030120849609,178.839698791504,12,0.0001,48.7945671081543,35.9398649895556,-1.23045992851257,0.142866224050522,-0.0073172664269805,3.39225888209367,-11271.5584604964,-47133.5319220837,-11271.5085937865,-47131.0698360302,-11271.4587270767,-47128.6077499767,1,0,0,0
20130620105350.daq,35,2,715.45,1,0,right,1.12604522705078,178.873954772949,12,0.0001,48.7084770202637,43.0901017719407,-1.71385490894318,0.143706664443016,0.0116660567000508,3.53490589126194,-11278.7031685395,-47133.3895239645,-11278.6547738696,-47130.9274085368,-11278.6063791998,-47128.4652931091,1,0,0,0
20130620105350.daq,35,2,715.55,1,0,right,1.06831359863281,178.931686401367,12,0.0001,48.6225509643555,50.2277252673048,-2.37302994728088,0.144134745001793,0.0496329367160797,3.67987613677254,-11285.8346303022,-47133.244680348,-11285.7887165013,-47130.7825174074,-11285.7428027003,-47128.3203544667,1,0,0,0
20130620105350.daq,35,2,715.65,1,0,right,0.991622924804688,179.008377075195,12,0.0001,48.5367164611816,57.352753239451,-2.59275484085083,0.144190713763237,0.0306496117264032,3.8195689526467,-11292.9529475718,-47133.1049211034,-11292.9103294279,-47130.6426989125,-11292.8677112839,-47128.1804767216,1,0,0,0
20130620105350.daq,35,2,715.75,1,0,right,0.907020568847656,179.092979431152,12,0.0001,48.4509620666504,64.4651983235381,-2.41697478294373,0.144664287567139,0.0116660567000508,3.95110988276067,-11300.0583764353,-47132.9734638555,-11300.0193940283,-47130.5111814194,-11299.9804116213,-47128.0488989832,1,0,0,0
