daqname,subject,instance,time,road_type,oncoming,direction,heading_local,heading,width,curvature,speed,distance,steer,throttle,brake,lat_dist,front_left_x,front_left_y,front_center_x,front_center_y,front_right_x,front_right_y,pre_phase,ld_phase,post_phase,exceed
20131207122954.daq,123,6,673.866666666667,1,0,left,-0.616233825683594,180.616233825684,12,0.0001,81.9777069091797,0,1.23045992851257,0.704400360584259,0.0206836331635714,-3.27859416809918,-20644.1930429778,-47135.2708059478,-20644.2195283948,-47132.8083573806,-20644.2460138119,-47130.3459088134,1,0,0,0
20131207122954.daq,123,6,673.966666666667,1,0,left,-0.577568054199219,180.577568054199,12,0.0001,82.0624237060547,12.0296385969414,1.18651497364044,0.70445853471756,0.00170007860288024,-3.38672615348161,-20656.2233152722,-47135.3856142398,-20656.2481389122,-47132.9231483598,-20656.2729625522,-47130.4606824797,1,0,0,0
20131207122954.daq,123,6,674.066666666667,1,0,left,-0.537071228027344,180.537071228027,12,0.0001,82.1470031738281,24.0716930275012,1.18651497364044,0.704275369644165,0.0111917406320572,-3.50031587448533,-20668.2653507868,-47135.500309157,-20668.2884339426,-47133.0378263466,-20668.3115170984,-47130.5753435362,1,0,0,0
20131207122954.daq,123,6,674.166666666667,1,0,left,-0.507270812988281,180.507270812988,12,0.0001,82.2313537597656,36.1261358766351,0.57128494977951,0.704017460346222,0.00170007860288024,-3.61688540444136,-20680.3188345431,-47135.615661979,-20680.3406369206,-47133.1531674958,-20680.3624392982,-47130.6906730126,1,0,0,0
20131207122954.daq,123,6,674.266666666667,1,0,left,-0.501930236816406,180.501930236816,12,0.0001,82.3154525756836,48.1929318032344,-0.439449965953827,0.704360902309418,0.0586505122482777,-3.72869210427353,-20692.3853749899,-47135.7286143925,-20692.4069478367,-47133.2661178878,-20692.4285206835,-47130.803621383,1,0,0,0
20131207122954.daq,123,6,674.366666666667,1,0,left,-0.522361755371094,180.522361755371,12,0.0001,82.3993301391602,60.2720457459145,-0.791009962558746,0.704670906066895,-0.00779158296063542,-3.83570347497708,-20704.4629864254,-47135.8353411094,-20704.4854373903,-47133.372852454,-20704.5078883552,-47130.9103637987,1,0,0,0
20131207122954.daq,123,6,674.466666666667,1,0,left,-0.560440063476563,180.560440063477,12,0.0001,82.4830169677734,72.3634474922001,-0.92284494638443,0.703116178512573,0.00170007860288024,-3.94413036749984,-20716.5518718459,-47135.9431538486,-20716.5759593557,-47133.4806806578,-20716.6000468654,-47131.018207467,1,0,0,0
20131207122954.daq,123,6,674.566666666667,1,0,left,-0.603767395019531,180.60376739502,12,0.0001,82.5665283203125,84.4671111190328,-0.74706494808197,0.70269650220871,0.0111917406320572,-4.04752400763421,-20728.6523420182,-47136.047382677,-20728.6782916544,-47133.5849284054,-20728.7042412906,-47131.1224741338,1,0,0,0
20131207122954.daq,123,6,674.666666666667,1,0,left,-0.641365051269531,180.64136505127,12,0.0001,82.6498413085938,96.5830083721667,-0.175779983401299,0.699714422225952,0.0206836331635714,-4.1590789224555,-20740.7646737578,-47136.1590707359,-20740.792239258,-47133.6966340227,-20740.8198047581,-47131.2341973095,1,0,0,0
20131207122954.daq,123,6,674.766666666667,1,0,left,-0.670082092285156,180.670082092285,12,0.0001,82.7329254150391,108.711109039126,-0.131834983825684,0.615241408348083,-0.0172832440584898,-4.27429064759059,-20752.8889475008,-47136.2741182774,-20752.9177471877,-47133.8116956894,-20752.9465468746,-47131.3492731015,1,0,0,0
20131207122954.daq,123,6,674.866666666667,1,0,left,-0.693359375,180.693359375,12,0.0001,82.8152542114258,120.85135278821,-0.351559966802597,0.570638835430145,0.0111917406320572,-4.39307791952132,-20765.0270300413,-47136.3927372198,-20765.0568301224,-47133.9303265354,-20765.0866302036,-47131.467915851,1,0,0,0
20131207122954.daq,123,6,674.966666666667,1,0,left,-0.722114562988281,180.722114562988,12,0.0001,82.895637512207,133.003540440935,-0.74706494808197,0.573166728019714,-0.00779158296063542,-4.51989628036107,-20777.1766918392,-47136.5195051966,-20777.2077277333,-47134.0571097782,-20777.2387636274,-47131.5947143597,1,0,0,0
