daqname,subject,instance,time,road_type,oncoming,direction,heading_local,heading,width,curvature,speed,distance,steer,throttle,brake,lat_dist,front_left_x,front_left_y,front_center_x,front_center_y,front_right_x,front_right_y,pre_phase,ld_phase,post_phase,exceed
20131207091031.daq,104,7,597.95,-1,0,right,3.11805177683073,178.116256713867,12,-0.000111516429172175,60.7648811340332,0,5.53706979751587,0.250624626874924,0.242411479353905,3.06737434973234,-3032.50132177592,-9512.91059084613,-3032.42037246999,-9510.44933067433,-3032.33942316407,-9507.98807050252,1,0,0,0
20131207091031.daq,104,7,598.05,-1,0,right,3.23199339013183,177.924209594727,12,-0.000108614922248212,60.7377243041992,8.91019551030695,3.25192975997925,0.251497030258179,0.270886689424515,3.46093224378197,-3041.41578663354,-9512.66809907588,-3041.32658801169,-9510.2071240599,-3041.23738938985,-9507.74614904391,1,0,0,0
20131207091031.daq,104,7,598.15,-1,0,right,3.22599801383865,177.821174621582,12,-0.000105662577696071,60.7118949890137,17.8165060138817,0.17577999830246,0.250800341367722,0.280378580093384,3.91177473798229,-3050.3221343566,-9512.38820518616,-3050.22851031116,-9509.92739455518,-3050.13488626573,-9507.4665839242,1,0,0,0
20131207091031.daq,104,7,598.25,-1,0,right,3.04840694910604,177.864967346191,12,-0.000102684531338804,60.6870880126953,26.7191111070897,-4.96578454971313,0.250787198543549,0.289870023727417,4.36726045758688,-3059.21862127889,-9512.08528577279,-3059.1268781252,-9509.6244043012,-3059.03513497151,-9507.16352282962,1,0,0,0
20131207091031.daq,104,7,598.35,-1,0,right,2.71574561927684,178.039054870605,12,0.0001,60.6628379821777,35.6181182120454,-7.64642953872681,0.25069060921669,0.270886689424515,4.80982824777554,-3068.10510943648,-9511.77294689717,-3068.02084383823,-9509.31179803284,-3067.93657823997,-9506.85064916851,1,0,0,0
20131207091031.daq,104,7,598.45,-1,0,right,2.24604912878226,178.325393676758,12,0.0001,60.6386528015137,44.5135886395474,-9.14055919647217,0.251226186752319,0.280378580093384,5.22100553557171,-3076.98315621161,-9511.4656594475,-3076.91119134112,-9509.00412019718,-3076.83922647063,-9506.54258094687,1,0,0,0
20131207091031.daq,104,7,598.55,-1,0,right,1.70645115631419,178.674263000488,12,0.0001,60.6135711669922,53.4054505883614,-9.27239418029785,0.250492483377457,0.289870023727417,5.58042180937123,-3085.85502955162,-9511.17981675784,-3085.79805403409,-9508.71788495256,-3085.74107851655,-9506.25595314729,1,0,0,0
20131207091031.daq,104,7,598.65,-1,0,right,1.3096736160976,179.046897888184,12,0.0001,60.5876045227051,62.2935673097454,-8.56927490234375,0.25019559264183,0.270886689424515,5.89197810983688,-3094.7223047569,-9510.9266530523,-3094.68134201138,-9508.46440276508,-3094.64037926586,-9506.00215247786,0,1,0,1
20131207091031.daq,104,7,598.75,-1,0,right,0.886129828757589,179.40486907959,12,0.0001,60.5608139038086,71.1778127319121,-7.07514476776123,0.250535905361176,0.299361914396286,6.15329641114239,-3103.58709487764,-9510.71646782612,-3103.56151641957,-9508.25400967096,-3103.53593796149,-9505.7915515158,0,1,0,1
20131207091031.daq,104,7,598.85,-1,0,right,0.442829445608538,179.741165161133,12,0.0001,60.5335121154785,80.0580895035673,-6.59174966812134,0.251410782337189,0.289870023727417,6.35156571605128,-3112.44983190001,-9510.55566865939,-3112.43870713337,-9508.09310278961,-3112.42758236674,-9505.63053691983,0,1,0,1
20131207091031.daq,104,7,598.95,-1,0,right,-0.0215689360361466,180.057121276855,12,0.0001,60.505931854248,88.9343358476654,-6.24018955230713,0.251341611146927,0.308853805065155,6.4773787759249,-3121.31001857161,-9510.44727619305,-3121.31247366202,-9507.98468641886,-3121.31492875243,-9505.52209664466,0,1,0,1
20131207091031.daq,104,7,599.05,-1,0,right,-0.340072631835938,180.340072631836,12,0.0001,60.4788055419922,97.806560622801,-4.87789487838745,0.251394838094711,0.261394798755646,6.53655234660336,-3130.16774787934,-9510.38856425214,-3130.18236422442,-9507.9260166311,-3130.19698056949,-9505.46346901006,0,1,0,1
20131207091031.daq,104,7,599.15,-1,0,right,-0.582046508789063,180.582046508789,12,0.0001,60.4526214599609,106.674873768803,-3.47165489196777,0.251104652881622,0.280378580093384,6.54601621740181,-3139.02325120481,-9510.37905390724,-3139.04826732035,-9507.91658997504,-3139.07328343588,-9505.45412604283,0,1,1,1
20131207091031.daq,104,7,599.25,-1,0,right,-0.781974792480469,180.78197479248,12,0.0001,60.4272232055664,115.539408677454,-2.90036988258362,0.251595497131348,0.242411479353905,6.51326807786575,-3147.87658779582,-9510.41185632853,-3147.91019628006,-9507.94949467897,-3147.9438047643,-9505.48713302942,0,1,1,1
20131207091031.daq,104,7,599.35,1,0,right,-0.965110778808594,180.965110778809,12,0.0001,60.4023017883301,124.400255846303,-3.38376474380493,0.257832825183868,0.242411479353905,6.44092993040134,-3156.7273822303,-9510.48364960658,-3156.76886103987,-9508.02140795886,-3156.81033984944,-9505.55916631114,0,1,1,1
20131207091031.daq,104,7,599.45,1,0,right,-1.13304901123047,181.13304901123,12,0.0001,60.3781433105469,133.25749150589,-2.59275484085083,0.303327143192291,0.270886689424515,6.33554620032224,-3165.57487088253,-9510.58867609626,-3165.62356651877,-9508.12656660267,-3165.672262155,-9505.66445710908,0,1,1,1
20131207091031.daq,104,7,599.55,1,0,right,-1.24623870849609,181.246238708496,12,0.0001,60.3587112426758,142.111442445108,-0.131834983825684,0.351619035005569,0.251903116703033,6.20169576365969,-3174.4203322246,-9510.72256417161,-3174.47389174095,-9508.26055568226,-3174.52745125729,-9505.7985471929,0,1,1,1
20131207091031.daq,104,7,599.65,1,0,right,-1.31806945800781,181.318069458008,12,0.0001,60.3521347045898,150.963396470546,0.439449995756149,0.392935901880264,0.242411479353905,6.04373463094331,-3183.26514711035,-9510.88028243361,-3183.32179316219,-9508.4183430257,-3183.37843921403,-9505.95640361778,0,1,1,1
20131207091031.daq,104,7,599.75,1,0,right,-1.34605407714844,181.346054077148,12,0.0001,60.3643226623535,159.815709175822,0.703119993209839,0.406209379434586,0.213936254382133,5.86801542100985,-3192.11183121737,-9511.05582332712,-3192.16967973207,-9508.59391188014,-3192.22752824677,-9506.13200043315,0,1,1,1
20131207091031.daq,104,7,599.85,1,0,right,-1.35868835449219,181.358688354492,12,0.0001,60.397590637207,168.671359240165,0.703119993209839,0.40510556101799,0.194952934980392,5.68105682000927,-3200.9623323486,-9511.24311991542,-3201.02072373733,-9508.78122128445,-3201.07911512607,-9506.31932265349,0,0,1,0
20131207091031.daq,104,7,599.95,1,0,right,-1.36327362060547,181.363273620605,12,0.0001,60.4497680664063,177.533315365225,0.659174978733063,0.404679447412491,0.194952934980392,5.48421869210349,-3209.81914651788,-9511.43968955396,-3209.87773492724,-9508.97779560382,-3209.93632333659,-9506.51590165369,0,0,1,0
20131207091031.daq,104,7,600.05,1,0,right,-1.37178039550781,181.371780395508,12,0.0001,60.5164527893066,186.404060755016,0.483394980430603,0.404817700386047,0.232919812202454,5.28238853800202,-3218.68513583473,-9511.64138193989,-3218.74408976386,-9509.17949671558,-3218.80304369299,-9506.71761149127,0,0,1,0
20131207091031.daq,104,7,600.15,1,0,right,-1.38669586181641,181.386695861816,12,0.0001,60.5912170410156,195.285241196601,0.17577999830246,0.404212921857834,0.270886689424515,5.07741172888098,-3227.56170019168,-9511.84639606767,-3227.6212950066,-9509.3845262739,-3227.68088982153,-9506.92265648013,0,0,1,0
20131207091031.daq,104,7,600.25,1,0,right,-1.41326904296875,181.413269042969,12,0.0001,60.6704483032227,204.177744274562,-0.219724982976913,0.404895305633545,0.232919812202454,4.86879446056121,-3236.44943471388,-9512.05505288001,-3236.51017131173,-9509.59321099047,-3236.57090790957,-9507.13136910093,0,0,1,0
20131207091031.daq,104,7,600.35,1,0,right,-1.44759368896484,181.447593688965,12,0.0001,60.7522506713867,213.082072084733,-0.263669967651367,0.402714848518372,0.308853805065155,4.65765255465146,-3245.34917293983,-9512.26613652188,-3245.41138436222,-9509.80433146007,-3245.47359578461,-9507.34252639826,0,0,1,0
20131207091031.daq,104,7,600.45,1,0,right,-1.48603057861328,181.486030578613,12,0.0001,60.8356857299805,221.998526005838,-0.175779983401299,0.392471671104431,0.356312334537506,4.44224812815099,-3254.26052101394,-9512.4813772772,-3254.32438392481,-9510.01961450389,-3254.38824683569,-9507.55785173058,0,0,1,0
20131207091031.daq,104,7,600.55,1,0,right,-1.51386260986328,181.513862609863,12,0.0001,60.9195938110352,230.927270900989,0.527339994907379,0.393013834953308,0.251903116703033,4.22261741623304,-3263.18410839913,-9512.7008520154,-3263.24916712975,-9510.23912055462,-3263.31422586037,-9507.77738909384,0,0,1,0
20131207091031.daq,104,7,600.65,1,0,right,-1.52129364013672,181.521293640137,12,0.0001,61.0027694702148,239.868275904977,1.2744048833847,0.3929203748703,0.280378580093384,4.00054583988083,-3272.12068119206,-9512.92298588281,-3272.18605919872,-9510.46126288058,-3272.25143720537,-9507.99953987836,0,0,1,0
20131207091031.daq,104,7,600.75,1,0,right,-1.5181884765625,181.518188476563,12,0.0001,61.0849838256836,248.821408884862,1.31834995746613,0.392411917448044,0.166477710008621,3.77379284515797,-3281.06973720242,-9513.15033516273,-3281.13498179509,-9510.68860862094,-3281.20022638776,-9508.22688207915,0,0,1,0
20131207091031.daq,104,7,600.85,1,0,right,-1.48571014404297,181.485710144043,12,0.0001,61.1663398742676,257.786535423129,2.98825979232788,0.380996316671371,0.204444602131844,3.54672526591049,-3290.03176963683,-9513.3768655003,-3290.09561877996,-9510.91510236986,-3290.15946792309,-9508.45333923943,0,0,1,0
20131207091031.daq,104,7,600.95,1,0,right,-1.40479278564453,181.404792785645,12,0.0001,61.2467193603516,266.763531359571,4.65816974639893,0.31305068731308,0.232919812202454,3.32160446904077,-3299.00751724325,-9513.60238595899,-3299.06788963899,-9511.1405351111,-3299.12826203474,-9508.6786842632,0,0,1,0
20131207091031.daq,104,7,601.05,1,0,right,-1.29622650146484,181.296226501465,12,0.0001,61.3235778808594,275.75211848769,4.57027959823608,0.160068422555923,0.204444602131844,3.10272557786391,-3307.99642765046,-9513.8213281245,-3308.05213512933,-9511.35936730023,-3308.1078426082,-9508.89740647596,0,0,1,0
20131207091031.daq,104,7,601.15,1,0,right,-1.17259979248047,181.17259979248,12,0.0001,61.3809242248535,284.750890528856,4.4384446144104,0.048088937997818,0.232919812202454,2.8951531492205,-3316.99718941501,-9514.02957652856,-3317.04758461241,-9511.56750123574,-3317.0979798098,-9509.10542594292,0,0,1,0
20131207091031.daq,104,7,601.25,1,0,right,-1.03962707519531,181.039627075195,12,0.0001,61.3886070251465,293.75474987457,4.35055494308472,0,0.204444602131844,2.69982234427655,-3326.00452274515,-9514.22454950002,-3326.04920379874,-9511.76236388011,-3326.09388485232,-9509.30017826021,0,0,1,0
20131207091031.daq,104,9,789.15,1,0,left,-1.98331451416016,181.98331451416,12,0.0001,54.0160789489746,0,-2.90036988258362,0,0.299361914396286,-3.39093749028219,-18865.8938553525,-9515.37011969383,-18865.9790818246,-9512.909003916,-18866.0643082967,-9510.44788813817,1,0,0,0
20131207091031.daq,104,9,789.25,1,0,left,-2.12157440185547,182.121574401855,12,0.0001,53.9188766479492,7.91524587493041,-2.81247973442078,0,0.346820443868637,-3.62693777897355,-18873.7964025023,-9515.62658272485,-18873.887567615,-9513.16567977153,-18873.9787327277,-9510.70477681821,1,0,0,0
20131207091031.daq,104,9,789.35,1,0,left,-2.25558471679688,182.255584716797,12,0.0001,53.8218612670898,15.8162485746216,-2.41697478294373,0,0.327837109565735,-3.89847490050026,-18881.6853722162,-9515.89840352539,-18881.7822929324,-9513.43772053114,-18881.8792136487,-9510.97703753689,1,0,0,0
20131207091031.daq,104,9,789.45,1,0,left,-2.38011932373047,182.38011932373,12,0.0001,53.7250900268555,23.7030400366348,-1.93357992172241,0,0.280378580093384,-4.18723911321408,-18889.5589549991,-9516.18721866545,-18889.6612238725,-9513.72675214445,-18889.7634927459,-9511.26628562345,1,0,0,0
20131207091031.daq,104,9,789.55,1,0,left,-2.49322509765625,182.493225097656,12,0.0001,53.6285781860352,31.5756567210919,-1.66990995407104,0,0.289870023727417,-4.49305862480554,-18897.4191609689,-9516.49291129733,-18897.5262867685,-9514.03265145608,-18897.633412568,-9511.57239161482,1,0,0,0
20131207091031.daq,104,9,789.65,1,0,left,-2.59489440917969,182.59489440918,12,0.0001,53.5323333740234,39.4341374192954,-1.49412989616394,0,0.280378580093384,-4.81472894784656,-18905.2659944542,-9516.81450620921,-18905.3774857259,-9514.35444033209,-18905.4889769977,-9511.89437445497,1,0,0,0
20131207091031.daq,104,9,789.75,1,0,left,-2.69022369384766,182.690223693848,12,0.0001,53.4363670349121,47.2785231139205,-1.49412989616394,0,0.337328553199768,-5.15052203632782,-18913.0973661079,-9517.15036061652,-18913.2129503054,-9514.69048364465,-18913.3285345029,-9512.23060667279,1,0,0,0
20131207091031.daq,104,9,789.85,1,0,left,-2.78488159179688,182.784881591797,12,0.0001,53.3406600952148,55.1088527361571,-1.49412989616394,0,0.289870023727417,-5.50085348175227,-18920.9131216568,-9517.50081847091,-18921.0327696377,-9515.04113581168,-18921.1524176186,-9512.58145315246,1,0,0,0
20131207091031.daq,104,9,789.95,1,0,left,-2.87671661376953,182.87671661377,12,0.0001,53.2452087402344,62.9251640982184,-1.45018494129181,0,0.289870023727417,-5.86479267598479,-18928.7152739357,-9517.86477316386,-18928.8388641984,-9515.40528543866,-18928.9624544611,-9512.94579771346,0,1,0,1
20131207091031.daq,104,9,790.05,1,0,left,-2.96615600585938,182.966156005859,12,0.0001,53.1500091552734,70.7274952920561,-1.2744048833847,0,0.251903116703033,-6.24061479619189,-18936.5038119168,-9518.2402977524,-18936.6312413169,-9515.78100594958,-18936.758670717,-9513.32171414676,0,1,0,1
20131207091031.daq,104,9,790.15,1,0,left,-2.99820709228516,182.998207092285,12,0.0001,53.0551528930664,78.5158859482253,3.25192975997925,0,0.223427921533585,-6.62504710012118,-18944.2783126108,-9518.62504708135,-18944.4071177113,-9516.16582694693,-18944.5359228118,-9513.70660681252,0,1,0,1
20131207091031.daq,104,9,790.25,1,0,left,-2.85555267333984,182.85555267334,12,0.0001,52.9605903625488,86.2903943935889,10.9423046112061,0,0.194952934980392,-7.00922190554045,-18952.0439839825,-9519.00900086387,-18952.1666657501,-9516.54946765464,-18952.2893475177,-9514.0899344454,0,1,0,1
20131207091031.daq,104,9,790.35,1,0,left,-2.54641723632813,182.546417236328,12,0.0001,52.8655471801758,94.0510026778138,13.8866195678711,0,0.194952934980392,-7.38386208114136,-18959.8044287719,-9519.38383279413,-18959.913838576,-9516.92367346632,-18960.0232483801,-9514.46351413852,0,1,0,1
20131207091031.daq,104,9,790.45,1,0,left,-2.09825134277344,182.098251342773,12,0.0001,52.769603729248,101.797614568619,15.8201990127563,0.0448049642145634,0.242411479353905,-7.73164320354234,-18967.5587473099,-9519.73160894297,-18967.6489106697,-9517.27066908349,-18967.7390740294,-9514.809729224,0,1,0,1
20131207091031.daq,104,9,790.55,1,0,left,-1.57598876953125,181.575988769531,12,0.0001,52.672046661377,109.530038860205,16.2157039642334,0.0959219858050346,0.213936254382133,-8.03689471074231,-18975.3050367045,-9520.03667959941,-18975.3727646666,-9517.57502012934,-18975.4404926288,-9515.11336065928,0,1,0,1
