daqname,subject,instance,time,road_type,oncoming,direction,heading_local,heading,width,curvature,speed,distance,steer,throttle,brake,lat_dist,front_left_x,front_left_y,front_center_x,front_center_y,front_right_x,front_right_y,pre_phase,ld_phase,post_phase,exceed
20130619102815.daq,21,3,144.9,1,0,right,0.5572509765625,-180.557250976563,12,0.0001,85.1369781494141,0,1.31834995746613,0.562473654747009,0.093673937022686,2.79019635525077,-10359.4592340769,-9526.14459900533,-10359.4352836286,-9523.68212447765,-10359.4113331803,-9521.21964994998,1,0,0,0
20130619102815.daq,21,3,145,1,0,right,0.580810546875,-180.580810546875,12,0.0001,85.2017059326172,12.4915337540988,1.14256989955902,0.562401294708252,0.112657263875008,2.89989721072158,-10371.9500331668,-9526.02595002876,-10371.9250701706,-9523.5634855575,-10371.9001071743,-9521.10102108623,1,0,0,0
20130619102815.daq,21,3,145.1,1,0,right,0.59759521484375,-180.597595214844,12,0.0001,85.2662353515625,24.9925467642224,1.01073491573334,0.562701046466827,0.0746903866529465,3.02463098313189,-10384.4494585605,-9525.90186180478,-10384.423774192,-9523.43940475203,-10384.3980898235,-9520.97694769928,1,0,0,0
20130619102815.daq,21,3,145.2,1,0,right,0.610565185546875,-180.610565185547,12,0.0001,85.3305969238281,37.5030119883468,0.92284494638443,0.561860203742981,0.0746903866529465,3.15244271295571,-10396.9575814541,-9525.7731273579,-10396.9313396631,-9523.31067618238,-10396.905097872,-9520.84822500686,1,0,0,0
20130619102815.daq,21,3,145.3,1,0,right,0.616241455078125,-180.616241455078,12,0.0001,85.3947830200195,50.0229041561652,0.703119993209839,0.561857223510742,0.112657263875008,3.28520641517087,-10409.4752953646,-9525.63996263522,-10409.4488096197,-9523.17751407155,-10409.4223238748,-9520.71506550787,1,0,0,0
20130619102815.daq,21,3,145.4,1,0,right,0.6163330078125,-180.616333007813,12,0.0001,85.4587707519531,62.5521953864136,0.439449995756149,0.562086820602417,0.112657263875008,3.42178832091424,-10422.0026413044,-9525.5032382041,-10421.9761516248,-9523.04078968275,-10421.9496619451,-9520.5783411614,1,0,0,0
20130619102815.daq,21,3,145.5,1,0,right,0.60601806640625,-180.606018066406,12,0.0001,85.5225677490234,75.0908577978335,0.307614982128143,0.561473667621613,0.198082908987999,3.55980026599301,-10434.538527342,-9525.36520638007,-10434.5124809766,-9522.9027531297,-10434.4864346112,-9520.44029987932,1,0,0,0
20130619102815.daq,21,3,145.6,1,0,right,0.587310791015625,-180.587310791016,12,0.0001,85.586181640625,87.6388635091607,-0.219724982976913,0.562414050102234,0.093673937022686,3.69932788254086,-10447.0830013697,-9525.22574206918,-10447.0577590054,-9522.76328044583,-10447.0325166411,-9520.30081882248,1,0,0,0
20130619102815.daq,21,3,145.7,1,0,right,0.548309326171875,-180.548309326172,12,0.0001,85.6495971679688,100.196184918881,-1.01073491573334,0.562970221042633,0.0841822773218155,3.83872500682731,-10459.6367539662,-9525.0865598741,-10459.613187815,-9522.62408163867,-10459.5896216639,-9520.16160340324,1,0,0,0
20130619102815.daq,21,3,145.8,1,0,right,0.488311767578125,-180.488311767578,12,0.0001,85.712776184082,112.762726820407,-1.23045992851257,0.562137365341187,0.093673937022686,3.97415158085257,-10472.1987891134,-9524.95160856759,-10472.177801571,-9522.48910700485,-10472.1568140285,-9520.02660544211,1,0,0,0
20130619102815.daq,21,3,145.9,1,0,right,0.42059326171875,-180.420593261719,12,0.0001,85.7757568359375,125.338584047331,-1.09862494468689,0.562034666538239,0.093673937022686,4.10323469553557,-10484.7694231514,-9524.82299361154,-10484.7513460804,-9522.36046896335,-10484.7332690093,-9519.89794431517,1,0,0,0
20130619102815.daq,21,3,146,1,0,right,0.35174560546875,-180.351745605469,12,0.0001,85.8384780883789,137.923659248354,-1.05467987060547,0.562683403491974,0.103165604174137,4.22316118124872,-10497.3488139619,-9524.70225916616,-10497.3336959178,-9522.23971457404,-10497.3185778737,-9519.77716998192,1,0,0,0
20130619102815.daq,21,3,146.1,1,0,right,0.284088134765625,-180.284088134766,12,0.0001,85.9009704589844,150.517917175601,-0.966789960861206,0.563040673732758,0.0272318441420794,4.33390739420041,-10509.9379941688,-9524.59121465538,-10509.9257840196,-9522.12865392807,-10509.9135738704,-9519.66609320076,1,0,0,0
20130619102815.daq,21,3,146.2,1,0,right,0.229278564453125,-180.229278564453,12,0.0001,85.9632339477539,163.121323327166,-0.307614982128143,0.561831653118134,0.093673937022686,4.43357138172642,-10522.537247824,-9524.49206839572,-10522.527393384,-9522.02949711484,-10522.517538944,-9519.56692583395,1,0,0,0
20130619102815.daq,21,3,146.3,1,0,right,0.203704833984375,-180.203704833984,12,0.0001,86.0253295898438,175.733847863577,0.791009962558746,0.562705993652344,0.112657263875008,4.52196610589301,-10535.1460000808,-9524.40380726543,-10535.1372448,-9521.94123183136,-10535.1284895193,-9519.47865639729,1,0,0,0
20130619102815.daq,21,3,146.4,1,0,right,0.211517333984375,-180.211517333984,12,0.0001,86.0873413085938,188.355472974399,1.71385490894318,0.563343048095703,0.0651987195014954,4.59995117531537,-10547.7653310221,-9524.3251988216,-10547.7562399598,-9521.86262460424,-10547.7471488975,-9519.40005038687,1,0,0,0
20130619102815.daq,21,3,146.5,1,0,right,0.252227783203125,-180.252227783203,12,0.0001,86.1493225097656,200.98618998753,2.37302994728088,0.563016772270203,0.103165604174137,4.67364096417103,-10560.3952279315,-9524.25236670632,-10560.3843871355,-9521.78979957006,-10560.3735463394,-9519.32723243381,1,0,0,0
20130619102815.daq,21,3,146.6,1,0,right,0.311126708984375,-180.311126708984,12,0.0001,86.2112655639648,213.625995825776,2.15330481529236,0.561373889446259,0.103165604174137,4.74287228038055,-10573.0353299002,-9524.18231389145,-10573.0219576401,-9521.71975920047,-10573.00858538,-9519.25720450948,1,0,0,0
20130619102815.daq,21,3,146.7,1,0,right,0.364898681640625,-180.364898681641,12,0.0001,86.273078918457,226.274879485825,1.45018494129181,0.562405467033386,0.141132473945618,4.81410232324418,-10585.6840931726,-9524.11160065314,-10585.6684098162,-9521.64905959647,-10585.6527264597,-9519.18651853981,1,0,0,0
20130619102815.daq,21,3,146.8,1,0,right,0.40240478515625,-180.402404785156,12,0.0001,86.3346710205078,238.932813179665,0.966789960861206,0.560858845710754,0.112657263875008,4.88711420079703,-10598.3422262668,-9524.0379878863,-10598.3249309221,-9521.57545762364,-10598.3076355774,-9519.11292736099,1,0,0,0
