daqname,subject,instance,time,road_type,oncoming,direction,heading_local,heading,width,curvature,speed,distance,steer,throttle,brake,lat_dist,front_left_x,front_left_y,front_center_x,front_center_y,front_right_x,front_right_y,pre_phase,ld_phase,post_phase,exceed
20140118105019.daq,123,5,618.516666666667,1,0,right,1.51801300048828,178.481986999512,12,0.0001,70.5447082519531,0,1.23045992851257,0.386686652898788,-0.0655965730547905,2.85654203108215,-11150.0989622493,-47146.0877438567,-11150.033725196,-47143.626017115,-11149.9684881427,-47141.1642903735,1,0,0,0
20140118105019.daq,123,5,618.616666666667,1,0,right,1.54315185546875,178.456848144531,12,0.0001,70.5713577270508,10.3484163193061,1.14256989955902,0.38913694024086,-0.0466130189597607,3.08738355091493,-11160.444265127,-47145.8361745195,-11160.3779479832,-47143.374476638,-11160.3116308393,-47140.9127787565,1,0,0,0
20140118105019.daq,123,5,618.716666666667,1,0,right,1.556396484375,178.443603515625,12,0.0001,70.6064071655273,20.7013918310258,1.18651497364044,0.396482080221176,-0.05610491335392,3.3498553315187,-11170.7932012994,-47145.5736288487,-11170.7263151054,-47143.111946363,-11170.6594289113,-47140.6502638773,1,0,0,0
20140118105019.daq,123,5,618.816666666667,1,0,right,1.57089233398438,178.429107666016,12,0.0001,70.6470565795898,31.0599540389267,1.58201992511749,0.397383242845535,-0.0466130189597607,3.62890888223824,-11181.1470487235,-47145.2953799782,-11181.0795397252,-47142.8337144935,-11181.012030727,-47140.3720490088,1,0,0,0
20140118105019.daq,123,5,618.916666666667,1,0,right,1.60822296142578,178.391777038574,12,0.0001,70.6910934448242,41.424741694329,2.8564248085022,0.397945404052734,-0.0940717905759811,3.9155576421832,-11191.5082537019,-47145.0078924187,-11191.4391408387,-47142.5462714415,-11191.3700279755,-47140.0846504642,1,0,0,0
20140118105019.daq,123,5,619.016666666667,1,0,right,1.68334197998047,178.31665802002,12,0.0001,70.7374114990234,51.7961672347592,4.04293966293335,0.398316860198975,-0.05610491335392,4.20892232314365,-11201.877153894,-47144.7141370295,-11201.8048137234,-47142.2526087799,-11201.7324735528,-47139.7910805304,1,0,0,0
20140118105019.daq,123,5,619.116666666667,1,0,right,1.78703308105469,178.212966918945,12,0.0001,70.7851486206055,62.1744983762801,4.26266479492188,0.397881120443344,-0.0845798999071121,4.50832594461583,-11212.2535313479,-47144.4146867339,-11212.1767365446,-47141.953293433,-11212.0999417414,-47139.4919001321,1,0,0,0
20140118105019.daq,123,5,619.216666666667,1,0,right,1.90833282470703,178.091667175293,12,0.0001,70.8338165283203,72.5599037119355,4.21871995925903,0.39729979634285,-0.0466130189597607,4.82458716059021,-11222.6381061642,-47144.0985053617,-11222.5561005706,-47141.6372801574,-11222.4740949771,-47139.1760549531,1,0,0,0
20140118105019.daq,123,5,619.316666666667,1,0,right,2.03600311279297,177.963996887207,12,0.0001,70.8829727172852,82.9524880528916,4.21871995925903,0.398220658302307,-0.075088232755661,5.1562216801472,-11233.0296434031,-47143.7662942507,-11232.9421537511,-47141.3052578869,-11232.854664099,-47138.844221523,1,0,0,0
20140118105019.daq,123,5,619.416666666667,1,0,right,2.16272735595703,177.837272644043,12,0.0001,70.9323654174805,93.3523012870282,4.08688449859619,0.397894769906998,-0.075088232755661,5.50336619287874,-11243.4279777284,-47143.4185110692,-11243.3350450846,-47140.9576742304,-11243.2421124408,-47138.4968373916,1,0,0,0
