daqname,subject,instance,time,road_type,oncoming,direction,heading_local,heading,width,curvature,speed,distance,steer,throttle,brake,lat_dist,front_left_x,front_left_y,front_center_x,front_center_y,front_right_x,front_right_y,pre_phase,ld_phase,post_phase,exceed
20140111090715.daq,129,4,421.15,1,0,right,1.45381866459059,211.57633972168,12,0.000853818842218793,25.7842636108398,0,-0.57128494977951,0.191012308001518,0.0109014036133885,2.49718597515169,-476.881837759063,-40023.1515850864,-478.171334480617,-40021.0535973294,-479.460831202172,-40018.9556095724,1,0,0,0
20140111090715.daq,129,4,421.25,1,0,right,1.46013314270084,211.61824798584,12,0.000830721838542045,25.7985973358154,3.78275161666897,-0.57128494977951,0.190893411636353,0.0868351608514786,2.5855970617117,-480.102381712896,-40025.1337197144,-481.39341263565,-40023.0366757044,-482.684443558404,-40020.9396316944,1,0,0,0
20140111090715.daq,129,4,421.35,1,0,right,1.4703887266387,211.660293579102,12,0.000807896622284683,25.8129768371582,7.56760826861137,-0.57128494977951,0.190321803092957,0.0393766202032566,2.68445612172217,-483.323344367153,-40027.1158581586,-484.615913824426,-40025.0197621155,-485.908483281698,-40022.9236660725,1,0,0,0
20140111090715.daq,129,4,421.45,1,0,right,1.4783535087264,211.702331542969,12,0.000785357939007088,25.8273258209229,11.3545736857523,-0.57128494977951,0.190921559929848,-0.00808191951364279,2.78356629033629,-486.544611379839,-40029.1019009038,-487.83871839658,-40027.0067537842,-489.13282541332,-40024.9116066646,1,0,0,0
20140111090715.daq,129,4,421.55,1,0,right,1.48524648840294,211.744041442871,12,0.000763121371183868,25.8415355682373,15.1436338575313,-0.57128494977951,0.191720262169838,0.0203930661082268,2.88293327558453,-489.766077799297,-40031.0918352565,-491.061709687898,-40028.9976307697,-492.3573415765,-40026.9034262828,1,0,0,0
20140111090715.daq,129,4,421.65,1,0,right,1.49066384922679,211.786628723145,12,0.000741203460112543,25.8556060791016,18.9347673368211,-0.57128494977951,0.190537735819817,0.0014097421662882,2.98230776588377,-492.987770781293,-40033.0857089592,-494.284958909458,-40030.9924680788,-495.582147037622,-40028.8992271983,1,0,0,0
20140111090715.daq,129,4,421.75,1,0,right,1.49402358042261,211.829048156738,12,0.000719620436329016,25.8696231842041,22.727960066426,-0.57128494977951,0.191156640648842,0.0109014036133885,3.0815245800226,-496.209746144567,-40035.0834805844,-497.508483666346,-40032.9912006622,-498.807221188124,-40030.8989207399,1,0,0,0
20140111090715.daq,129,4,421.85,1,0,right,1.49550295613017,211.871948242188,12,0.00069838573437088,25.8836345672607,26.5232071275022,-0.57128494977951,0.190386176109314,0.0298849586397409,3.18082957610543,-499.431969206953,-40037.0851757634,-500.732272954399,-40034.9938688543,-502.032576701844,-40032.9025619453,1,0,0,0
20140111090715.daq,129,4,421.95,1,0,right,1.4973414228507,211.913818359375,12,0.000677506696483173,25.8976573944092,30.3205110144409,-0.57128494977951,0.189807876944542,-0.00808191951364279,3.28305145846497,-502.654581833218,-40039.0868285863,-503.956413500614,-40036.9964724604,-505.258245168009,-40034.9061163344,1,0,0,0
20140111090715.daq,129,4,422.05,1,0,right,1.49710374235326,211.955612182617,12,0.000656982994386794,25.9115943908691,34.1198668083907,-0.57128494977951,0.191320478916168,0.0393766202032566,3.38189784736559,-505.877441479421,-40041.096289264,-507.180797589342,-40039.0068833019,-508.484153699263,-40036.9174773399,1,0,0,0
