daqname,subject,instance,time,road_type,oncoming,direction,heading_local,heading,width,curvature,speed,distance,steer,throttle,brake,lat_dist,front_left_x,front_left_y,front_center_x,front_center_y,front_right_x,front_right_y,pre_phase,ld_phase,post_phase,exceed
20130416090419.daq,29,6,812.033333333333,1,0,right,0.627593994140625,269.372406005859,12,0.0001,66.9169235229492,0,0.74706494808197,0.286004185676575,0.0066325543448329,2.80328925401076,22714.1314456495,-14122.374004331,22711.669002382,-14122.347030679,22709.2065591146,-14122.3200570271,1,0,0,0
20130416090419.daq,29,6,812.133333333333,1,0,right,0.626846313476563,269.373153686523,12,0.0001,66.901252746582,9.81335634842981,0.878899991512299,0.287102401256561,-0.00285910721868277,2.90950115187086,22714.0162576738,-14132.1845333315,22711.5538140545,-14132.1575918131,22709.0913704352,-14132.1306502948,1,0,0,0
20130416090419.daq,29,6,812.233333333333,1,0,right,0.630599975585938,269.369400024414,12,0.0001,66.8855209350586,19.6244085297076,1.09862494468689,0.28667140007019,0.0445994324982166,3.02214707061887,22713.9027434783,-14141.9932168128,22711.4403016294,-14141.9661139706,22708.9778597804,-14141.9390111284,1,0,0,0
20130416090419.daq,29,6,812.333333333333,1,0,right,0.64111328125,269.35888671875,12,0.0001,66.869758605957,29.4331526274182,1.2744048833847,0.286593943834305,0.0161244478076696,3.13860431372187,22713.7868566354,-14151.8001086774,22711.3244198011,-14151.7725539977,22708.8619829667,-14151.7449993181,1,0,0,0
20130416090419.daq,29,6,812.433333333333,1,0,right,0.657150268554688,269.342849731445,12,0.0001,66.8539581298828,39.2395805289198,1.36229491233826,0.286945998668671,-0.00285910721868277,3.2543855117231,22713.6706268976,-14161.6051791874,22711.2081978722,-14161.5769352771,22708.7457688469,-14161.5486913668,1,0,0,0
20130416090419.daq,29,6,812.533333333333,1,0,right,0.675949096679688,269.32405090332,12,0.0001,66.8381500244141,49.0437060349941,1.36229491233826,0.286291241645813,0.0540913268923759,3.37086117559523,22713.5542256051,-14171.407385616,22711.0918059791,-14171.3783337807,22708.6293863532,-14171.3492819455,1,0,0,0
20130416090419.daq,29,6,812.633333333333,1,0,right,0.69683837890625,269.303161621094,12,0.0001,66.822380065918,58.8455006116201,1.40623998641968,0.285559445619583,0.0161244478076696,3.48938467497449,22713.4357412522,-14181.2076883571,22710.9733323818,-14181.1777387582,22708.5109235114,-14181.1477891593,1,0,0,0
20130416090419.daq,29,6,812.733333333333,1,0,right,0.719161987304688,269.280838012695,12,0.0001,66.8065490722656,68.6449798312897,1.40623998641968,0.28520393371582,0.0256161093711853,3.61166802863363,22713.3132614026,-14191.0050950861,22710.8508643881,-14190.9741860846,22708.3884673736,-14190.9432770831,1,0,0,0
20130416090419.daq,29,6,812.833333333333,1,0,right,0.742523193359375,269.257476806641,12,0.0001,66.7905578613281,78.4421264430421,1.40623998641968,0.284193217754364,-0.0408259853720665,3.73635154503302,22713.1887637806,-14200.8005728264,22710.7263795733,-14200.7686598345,22708.263995366,-14200.7367468425,1,0,0,0
20130416090419.daq,29,6,812.933333333333,1,0,right,0.76568603515625,269.234313964844,12,0.0001,66.7742767333984,88.2369073437221,1.49412989616394,0.283462643623352,-0.0408259853720665,3.86644516852673,22713.0584188785,-14210.5940921377,22710.5960477738,-14210.5611836856,22708.1336766691,-14210.5282752336,1,0,0,0
