daqname,subject,instance,time,road_type,oncoming,direction,heading_local,heading,width,curvature,speed,distance,steer,throttle,brake,lat_dist,front_left_x,front_left_y,front_center_x,front_center_y,front_right_x,front_right_y,pre_phase,ld_phase,post_phase,exceed
20130627114306.daq,32,6,1036.78333333333,-1,0,right,1.82686256823871,268.0380859375,12,0.0001,65.0245208740234,0,2.0654149055481,0,0.0232480019330978,2.93763009619035,-28766.0005512555,-23110.5826702566,-28768.4616986945,-23110.4983630377,-28770.9228461334,-23110.4140558188,1,0,0,0
20130627114306.daq,32,6,1036.88333333333,-1,0,right,1.78334986604796,267.946868896484,12,0.0001,64.8993072509766,9.52776214941696,1.84568989276886,0,-0.0337024293839931,3.18082675223757,-28766.2992315985,-23120.1081514595,-28768.7602416983,-23120.0199261096,-28771.221251798,-23119.9317007597,1,0,0,0
20130627114306.daq,32,6,1036.98333333333,-1,0,right,1.75306283333174,267.862518310547,12,0.0001,64.7745971679688,19.0371970782435,2.28513979911804,0,-0.0337024293839931,3.44358523191857,-28766.617016135,-23129.6119863513,-28769.0778936829,-23129.5201380105,-28771.5387712308,-23129.4282896696,1,0,0,0
20130627114306.daq,32,6,1037.08333333333,-1,0,right,1.77150838160219,267.76416015625,12,0.0001,64.6503143310547,28.5283741632302,3.29587483406067,0,0.0137561084702611,3.71101403546727,-28766.9552129816,-23139.0985457834,-28769.4159292299,-23139.0024730563,-28771.8766454782,-23138.9064003292,1,0,0,0
20130627114306.daq,32,6,1037.18333333333,-1,0,right,1.84666987299931,267.641525268555,12,0.0001,64.5263442993164,38.0013470222038,3.95504975318909,0,0.0137561084702611,3.98641272646515,-28767.3125149818,-23148.5680514207,-28769.7730199613,-23148.4667120436,-28772.2335249408,-23148.3653726664,1,0,0,0
20130627114306.daq,32,6,1037.28333333333,-1,0,right,1.94724800532833,267.506393432617,12,0.0001,64.4026718139648,47.4561594819097,3.8232147693634,0,-0.0242107696831226,4.2735360146055,-28767.6862325812,-23158.0182827659,-28770.1464917092,-23157.9111405861,-28772.6067508372,-23157.8039984064,1,0,0,0
20130627114306.daq,32,6,1037.38333333333,-1,0,right,1.83777403312916,267.367172241211,12,-0.000101563502143919,64.2792663574219,56.8928531311103,3.55954480171204,0,-0.00522721465677023,4.55343910795792,-28768.0777923149,-23167.4490516758,-28770.5377838388,-23167.3359317128,-28772.9977753626,-23167.2228117499,1,0,0,0
20130627114306.daq,32,6,1037.48333333333,-1,0,right,1.76266126529572,267.239807128906,12,-0.000103149730950676,64.1561737060547,66.3114699315629,2.54880976676941,0,0.156131953001022,4.81733606342724,-28768.4900979461,-23176.8619654156,-28770.9498319332,-23176.7433773217,-28773.4095659203,-23176.6247892279,1,0,0,0
20130627114306.daq,32,6,1037.58333333333,-1,0,right,1.69236471552261,267.159530639648,12,-0.000104731952136791,64.0335235595703,75.7120638740889,0.395504981279373,0,0.545292615890503,5.06941534384593,-28768.9189770222,-23186.2543192744,-28771.3785424426,-23186.1322849917,-28773.838107863,-23186.010250709,1,0,0,0
20130627114306.daq,32,6,1037.68333333333,-1,0,right,1.58875822069228,267.162368774414,12,-0.000106315356528403,63.9114379882813,85.0947095573792,-2.0654149055481,0,1.08632075786591,5.31357940576506,-28769.3602046571,-23195.6253520222,-28771.8197761194,-23195.5034395737,-28774.2793475818,-23195.3815271252,1,0,0,0
