daqname,subject,instance,time,road_type,oncoming,direction,heading_local,heading,width,curvature,speed,distance,steer,throttle,brake,lat_dist,front_left_x,front_left_y,front_center_x,front_center_y,front_right_x,front_right_y,pre_phase,ld_phase,post_phase,exceed
20131207105319.daq,129,5,427.35,1,0,right,0.301971435546875,179.698028564453,12,0.0001,24.746129989624,0,-0.439449965953827,0.194108948111534,0.0484929084777832,2.74409481605448,-2289.23237347695,-40586.1828808115,-2289.21939470779,-40583.7203240152,-2289.20641593863,-40581.2577672189,1,0,0,0
20131207105319.daq,129,5,427.45,1,0,right,0.273048400878906,179.726951599121,12,0.0001,24.772066116333,3.63134510521559,0.17577999830246,0.195222273468971,-0.008457294665277,2.76004008075568,-2292.86204248805,-40586.1651403231,-2292.85030682454,-40583.7025772888,-2292.83857116103,-40581.2400142546,1,0,0,0
20131207105319.daq,129,5,427.55,1,0,right,0.256278991699219,179.743721008301,12,0.0001,24.7977561950684,7.26647625733312,0.966789960861206,0.195527851581573,0.00103436701465398,2.77841626664179,-2296.49615649497,-40586.146647184,-2296.48514157836,-40583.6840808204,-2296.47412666175,-40581.2215144568,1,0,0,0
20131207105319.daq,129,5,427.65,1,0,right,0.247596740722656,179.752403259277,12,0.0001,24.8232898712158,10.9053625212,1.14256989955902,0.195128932595253,0.0105260284617543,2.79363942614755,-2300.13437314121,-40586.1315596122,-2300.12373138692,-40583.6689916078,-2300.11308963264,-40581.2064236033,1,0,0,0
20131207105319.daq,129,5,427.75,1,0,right,0.243843078613281,179.756156921387,12,0.0001,24.848690032959,14.5479848275299,1.18651497364044,0.194686129689217,-0.0179491881281137,2.81288557699443,-2303.77637169844,-40586.1122607026,-2303.76589127627,-40583.6496920063,-2303.75541085411,-40581.1871233099,1,0,0,0
20131207105319.daq,129,5,427.85,1,0,right,0.241203308105469,179.758796691895,12,0.0001,24.8739147186279,18.1943196777283,1.18651497364044,0.195001259446144,-0.008457294665277,2.82848615061763,-2307.42254772627,-40586.0967990929,-2307.41218076127,-40583.6342299163,-2307.40181379627,-40581.1716607397,1,0,0,0
20131207105319.daq,129,5,427.95,1,0,right,0.238037109375,179.761962890625,12,0.0001,24.8989219665527,21.8443382114292,1.18651497364044,0.194913789629936,0.0105260284617543,2.84772126585547,-2311.07212890872,-40586.0774638129,-2311.06189802677,-40583.6148940672,-2311.05166714482,-40581.1523243215,1,0,0,0
20131207105319.daq,129,5,428.05,1,0,right,0.234725952148438,179.765274047852,12,0.0001,24.9237613677979,25.4980116148854,1.18651497364044,0.194897189736366,0.0105260284617543,2.86323820659146,-2314.72536866272,-40586.0620437505,-2314.71528009416,-40583.5994734176,-2314.7051915256,-40581.1369030848,1,0,0,0
20131207105319.daq,129,5,428.15,1,0,right,0.23150634765625,179.768493652344,12,0.0001,24.9484672546387,29.1553183477263,1.18651497364044,0.195219770073891,0.0295095834881067,2.88244567483387,-2318.38227274216,-40586.0427117671,-2318.37232255209,-40583.5801408713,-2318.36237236201,-40581.1175699754,1,0,0,0
20131207105319.daq,129,5,428.25,1,0,right,0.227928161621094,179.772071838379,12,0.0001,24.9730415344238,32.8162385713604,1.18651497364044,0.194915428757668,0.0295095834881067,2.89788345604918,-2322.04283019249,-40586.0273082218,-2322.03303379277,-40583.5647367093,-2322.02323739305,-40581.1021651969,1,0,0,0
