daqname,subject,instance,time,road_type,oncoming,direction,heading_local,heading,width,curvature,speed,distance,steer,throttle,brake,lat_dist,front_left_x,front_left_y,front_center_x,front_center_y,front_right_x,front_right_y,pre_phase,ld_phase,post_phase,exceed
20130702091733.daq,10,3,631.016666666667,1,0,left,-0.618797302246094,180.618797302246,12,0.0001,72.6565780639648,0,-1.36229491233826,0.328736901283264,0.0712740048766136,-3.26043594858814,-13559.1431735649,-9515.25338553707,-13559.1697691545,-9512.79093815732,-13559.1963647442,-9510.32849077757,1,0,0,0
20130702091733.daq,10,3,631.116666666667,1,0,left,-0.701393127441406,180.701393127441,12,0.0001,72.6544647216797,10.6561670763767,-1.36229491233826,0.329072892665863,0.0617821142077446,-3.33732604103929,-13569.7934280701,-9515.33659057682,-13569.823573419,-9512.87418409507,-13569.8537187679,-9510.41177761332,1,0,0,0
20130702091733.daq,10,3,631.216666666667,1,0,left,-0.781684875488281,180.781684875488,12,0.0001,72.6524124145508,21.3120286710982,-1.36229491233826,0.327775835990906,0.0238152351230383,-3.43596765045409,-13580.443733839,-9515.43527601287,-13580.4773298636,-9512.97291419328,-13580.5109258883,-9510.51055237369,1,0,0,0
20130702091733.daq,10,3,631.316666666667,1,0,left,-0.862083435058594,180.862083435059,12,0.0001,72.6502990722656,31.9675879546121,-1.36229491233826,0.328267931938171,0.0522904507815838,-3.54928049391246,-13591.0930534061,-9515.54861358549,-13591.1301046309,-9513.08630133271,-13591.1671558556,-9510.62398907994,1,0,0,0
20130702091733.daq,10,3,631.416666666667,1,0,left,-0.9439697265625,180.943969726563,12,0.0001,72.6481018066406,42.6228287949561,-1.40623986721039,0.329035222530365,-0.0236433036625385,-3.67830640085576,-13601.7423279609,-9515.67766459558,-13601.7828982474,-9513.21540781058,-13601.8234685339,-9510.75315102557,1,0,0,0
20130702091733.daq,10,3,631.516666666667,1,0,left,-1.02869415283203,181.028694152832,12,0.0001,72.6459655761719,53.2777497934003,-1.45018494129181,0.328143566846848,0.0143235735595226,-3.82215258943767,-13612.3915224254,-9515.82153514255,-13612.435733655,-9513.35934104163,-13612.4799448846,-9510.89714694071,1,0,0,0
20130702091733.daq,10,3,631.616666666667,1,0,left,-1.11280059814453,181.112800598145,12,0.0001,72.6438751220703,63.9323625127436,-1.53807497024536,0.329005211591721,0.0143235735595226,-3.9816161411385,-13623.0387720115,-9515.98098958697,-13623.0865975316,-9513.51886303802,-13623.1344230517,-9511.05673648907,1,0,0,0
20130702091733.daq,10,3,631.716666666667,1,0,left,-1.20001983642578,181.200019836426,12,0.0001,72.6417541503906,74.5866654610072,-1.58201992511749,0.328505992889404,0.0238152351230383,-4.15687458135415,-13633.6869100587,-9516.15625655198,-13633.7384835257,-9513.69420565874,-13633.7900569928,-9511.23215476549,1,0,0,0
20130702091733.daq,10,3,631.816666666667,1,0,left,-1.29109191894531,181.291091918945,12,0.0001,72.6397247314453,85.240663673605,-1.58201992511749,0.327823966741562,0.0333071276545525,-4.34802415165174,-13644.332986794,-9516.34738096594,-13644.3884736431,-9513.88541515931,-13644.4439604922,-9511.42344935268,1,0,0,0
20130702091733.daq,10,3,631.916666666667,1,0,left,-1.38111877441406,181.381118774414,12,0.0001,72.6376647949219,95.8943644239189,-1.58201992511749,0.328970789909363,0.0333071276545525,-4.55472842438395,-13654.9790819131,-9516.55406267196,-13655.0384370929,-9514.09218708898,-13655.0977922727,-9511.630311506,1,0,0,0
20130702091733.daq,10,3,632.016666666667,1,0,left,-1.47036743164063,181.470367431641,12,0.0001,72.635498046875,106.547753538187,-1.40623986721039,0.328372210264206,0.0333071276545525,-4.77798045369679,-13665.6251887372,-9516.77729467353,-13665.688378665,-9514.31551453378,-13665.7515685928,-9511.85373439404,1,0,0,0
20130702091733.daq,10,3,632.116666666667,1,0,left,-1.53744506835938,181.537445068359,12,0.0001,72.6334381103516,117.200831762399,-0.0878899917006493,0.32831409573555,-0.0046597495675087,-5.01552048262988,-13676.2699158242,-9517.01479327332,-13676.3359877771,-9514.55308879868,-13676.4020597301,-9512.09138432404,1,0,0,0
20130702091733.daq,10,3,632.216666666667,1,0,left,-1.55064392089844,181.550643920898,12,0.0001,72.6317138671875,127.853618492212,2.37302994728088,0.329103797674179,0.00483191199600697,-5.25583444531619,-13686.4736710404,-9517.25583419401,-13686.5403100783,-9514.79414500525,-13686.6069491162,-9512.33245581648,1,0,0,0
20130702091733.daq,10,3,632.316666666667,1,0,left,-1.49076843261719,181.490768432617,12,0.0001,72.6297225952148,138.50612985959,4.26266479492188,0.32878702878952,0.0143235735595226,-5.52533055606977,-13697.5660610334,-9517.52463566507,-13697.63012751,-9515.06287818108,-13697.6941939867,-9512.60112069709,1,0,0,0
20130702091733.daq,10,3,632.416666666667,1,0,left,-1.36181640625,181.36181640625,12,0.0001,72.6283416748047,149.158408665542,6.0644097328186,0.32897937297821,0.0712740048766136,-5.78592798498119,-13708.2178661145,-9517.78530351191,-13708.27639191,-9515.32340807248,-13708.3349177055,-9512.86151263304,0,1,0,1
