daqname,subject,instance,time,road_type,oncoming,direction,heading_local,heading,width,curvature,speed,distance,steer,throttle,brake,lat_dist,front_left_x,front_left_y,front_center_x,front_center_y,front_right_x,front_right_y,pre_phase,ld_phase,post_phase,exceed
20130725092339.daq,15,1,1164.71666666667,1,0,right,0.35595703125,269.64404296875,12,0.0001,65.3079376220703,0,1.36229491233826,0.355618327856064,-0.0658790320158005,2.73928235496128,-28765.8087438888,-22693.6662987012,-28768.271287363,-22693.6509996522,-28770.7338308373,-22693.6357006031,1,0,0,0
20130725092339.daq,15,1,1164.81666666667,1,0,right,0.376861572265625,269.623138427734,12,0.0001,65.3495101928711,9.58156356665131,1.05467998981476,0.35578516125679,-0.0658790320158005,2.79465259991407,-28765.8686326352,-22703.2488356088,-28768.3311703636,-22703.2326380942,-28770.793708092,-22703.2164405797,1,0,0,0
20130725092339.daq,15,1,1164.91666666667,1,0,right,0.386077880859375,269.613922119141,12,0.0001,65.3913192749023,19.1692441329651,0.703119993209839,0.355931788682938,-0.0848625898361206,2.85684067020764,-28765.9317036265,-22712.834995891,-28768.3942387176,-22712.8184022653,-28770.8567738087,-22712.8018086396,1,0,0,0
20130725092339.daq,15,1,1165.01666666667,1,0,right,0.385055541992188,269.614944458008,12,0.0001,65.4331970214844,28.7630625865568,0.395504981279373,0.355930805206299,-0.00892883073538542,2.92339170108117,-28765.9980465362,-22722.4267680579,-28768.4605819231,-22722.4102183717,-28770.9231173099,-22722.3936686854,1,0,0,0
20130725092339.daq,15,1,1165.11666666667,1,0,right,0.374984741210938,269.625015258789,12,0.0001,65.4751434326172,38.3630282522645,0.26366999745369,0.356263309717178,-0.0279121547937393,2.99123848006368,-28766.0657819865,-22732.0241808547,-28768.5283202442,-22732.0080640052,-28770.9908585019,-22731.9919471556,1,0,0,0
20130725092339.daq,15,1,1165.21666666667,1,0,right,0.359466552734375,269.640533447266,12,0.0001,65.5171203613281,47.9691499886831,0.26366999745369,0.355958819389343,-0.05638737231493,3.06033286346749,-28766.135133159,-22741.6292742507,-28768.5976756916,-22741.6138243642,-28771.0602182241,-22741.5983744777,1,0,0,0
20130725092339.daq,15,1,1165.31666666667,1,0,right,0.342819213867188,269.657180786133,12,0.0001,65.5589828491211,57.5814217346779,0.219724997878075,0.35676047205925,-0.05638737231493,3.12794085027448,-28766.2024613705,-22751.2382462953,-28768.6650082881,-22751.2235119033,-28771.1275552056,-22751.2087775114,1,0,0,0
20130725092339.daq,15,1,1165.41666666667,1,0,right,0.32293701171875,269.677062988281,12,0.0001,65.600700378418,67.1998211106402,0.131834998726845,0.355614095926285,-0.0468957088887691,3.19490780914579,-28766.2695893628,-22760.8549521462,-28768.732141245,-22760.8410722833,-28771.1946931273,-22760.8271924203,1,0,0,0
20130725092339.daq,15,1,1165.51666666667,1,0,right,0.303451538085938,269.696548461914,12,0.0001,65.6424255371094,76.824339164712,0.0878899991512299,0.355744987726212,-0.0468957088887691,3.2599956218544,-28766.3347889632,-22770.4775265684,-28768.7973454234,-22770.4644841848,-28771.2599018836,-22770.4514418013,1,0,0,0
20130725092339.daq,15,1,1165.61666666667,1,0,right,0.28265380859375,269.717346191406,12,0.0001,65.6840667724609,86.4549719804636,0.0878899991512299,0.355882316827774,-0.075370691716671,3.32193001209156,-28766.3960012287,-22780.1059280954,-28768.8585622609,-22780.0937795932,-28771.3211232931,-22780.081631091,1,0,0,0
