daqname,subject,instance,time,road_type,oncoming,direction,heading_local,heading,width,curvature,speed,distance,steer,throttle,brake,lat_dist,front_left_x,front_left_y,front_center_x,front_center_y,front_right_x,front_right_y,pre_phase,ld_phase,post_phase,exceed
20121205112117.daq,7,3,540.566666666667,-1,0,left,-1.86158336434943,269.896392822266,12,-0.000115604421389,45.9637832641602,0,1.84568989276886,0.204706832766533,-0.0547711737453938,-3.36799957219068,-992.962193293004,-6989.35156363411,-995.424780264792,-6989.34711056677,-997.88736723658,-6989.34265749944,1,0,0,0
20121205112117.daq,7,3,540.666666666667,-1,0,left,-2.43391628495345,269.857284545898,12,-0.000116570407247308,45.9418869018555,6.73977173649109,2.94431495666504,0.205315709114075,-0.0262961871922016,-3.59550437808827,-992.979382445799,-6996.09128942791,-995.441965804407,-6996.08515547822,-997.904549163015,-6996.07902152852,1,0,0,0
20121205112117.daq,7,3,540.766666666667,-1,0,left,-2.97415991701473,269.791198730469,12,-0.000117467430836198,45.9194221496582,13.476288965092,3.91110491752625,0.205503538250923,-0.0168042927980423,-3.91615871331747,-993.000804978187,-7002.82922970863,-995.463379623738,-7002.8202553829,-997.925954269288,-7002.81128105716,1,0,0,0
20121205112117.daq,7,3,540.866666666667,-1,0,left,-2.92947384047034,269.695114135742,12,-0.000118282837425886,45.8965225219727,20.2094767607377,4.87789487838745,0.204807177186012,-0.0357878468930721,-4.26438061852472,-993.029091646403,-7009.5649637034,-995.49164777933,-7009.55185967292,-997.954203912256,-7009.53875564243,1,0,0,0
20121205112117.daq,7,3,540.966666666667,-1,0,left,-2.84742114411819,269.557525634766,12,-0.000119000719305428,45.8732643127441,26.9392810393765,6.63569450378418,0.205751910805702,-0.0357878468930721,-4.60910299559492,-993.068010919236,-7016.29827120242,-995.530528484265,-7016.27925370118,-997.993046049294,-7016.26023619994,1,0,0,0
20121205112117.daq,7,3,541.066666666667,-1,0,left,-2.6934892947508,269.35807800293,12,-0.000119602775247692,45.8495407104492,33.6656418423117,8.9647798538208,0.204864308238029,-0.0452795103192329,-4.94385818063023,-993.12237324387,-7023.0310850298,-995.584809689026,-7023.00349559347,-998.047246134182,-7022.97590615713,1,0,0,0
20121205112117.daq,7,3,541.166666666667,-1,0,left,-2.47170885776956,269.10237121582,12,-0.000120069504769314,45.8252944946289,40.3884840579703,10.151294708252,0.206252440810204,-0.0168042927980423,-5.26290828674704,-993.197216890364,-7029.76225627273,-995.659505683336,-7029.72367747759,-998.121794476308,-7029.68509868245,1,0,0,0
20121205112117.daq,7,3,541.266666666667,-1,0,left,-2.20368661405473,268.810821533203,12,-0.000120381787797877,45.8006820678711,47.1077405941614,10.546799659729,0.205726087093353,-0.0168042927980423,-5.55912152331123,-993.298306659314,-7036.49175088619,-995.760367267091,-7036.44064328339,-998.222427874868,-7036.38953568059,1,0,0,0
20121205112117.daq,7,3,541.366666666667,-1,0,left,-1.9068914057537,268.501708984375,12,-0.000120523603228631,45.7759246826172,53.823374617783,10.546799659729,0.205582439899445,-0.00731263216584921,-5.8261248109758,-993.430251215165,-7043.21765026033,-995.892000266407,-7043.15326057063,-998.353749317649,-7043.08887088093,0,1,0,1
20121205112117.daq,7,3,541.466666666667,-1,0,left,-1.59244300990935,268.185653686523,12,-0.000120483480520769,45.7510833740234,60.5353713023433,10.502854347229,0.22086863219738,-0.0452795103192329,-6.06013708854702,-993.59623758411,-7049.94018462248,-996.057593996789,-7049.86221646746,-998.518950409468,-7049.78424831245,0,1,0,1
