daqname,subject,instance,time,road_type,oncoming,direction,heading_local,heading,width,curvature,speed,distance,steer,throttle,brake,lat_dist,front_left_x,front_left_y,front_center_x,front_center_y,front_right_x,front_right_y,pre_phase,ld_phase,post_phase,exceed
20131214092718.daq,104,2,61.9,-1,0,left,-15.9047141049797,-129.057830810547,12,-0.0109830701567078,16.4805736541748,0,218.977920532227,0.483341485261917,-0.142671748995781,-4.12960152642765,-45532.1643980942,-63018.2031452083,-45534.0766255379,-63016.6514556044,-45535.9888529817,-63015.0997660006,1,0,0,0
20131214092718.daq,104,2,62,-1,0,left,-15.7799795239623,-131.731201171875,12,-0.0106330083574395,17.2149600982666,2.47144213864385,224.471054077148,0.467717260122299,-0.142671748995781,-4.58719426450097,-45534.0007548011,-63020.0328712523,-45535.8385268969,-63018.3936799433,-45537.6762989926,-63016.7544886343,1,0,0,0
20131214092718.daq,104,2,62.1,-1,0,left,-15.746690180652,-134.519775390625,12,-0.0102656444531765,17.9106063842773,5.04774549320382,230.755187988281,0.461174041032791,-0.133179858326912,-5.10991610695756,-45536.0093032384,-63021.8557467905,-45537.7651515295,-63020.1290878196,-45539.5209998206,-63018.4024288486,1,0,0,0
20131214092718.daq,104,2,62.2,-1,0,left,-15.5823716785955,-137.440826416016,12,-0.00988496737593144,18.5717678070068,7.72353697619656,236.424087524414,0.454598993062973,-0.152163416147232,-5.65408358575158,-45538.1785412263,-63023.6430497487,-45539.8441178195,-63021.8291564123,-45541.5096944127,-63020.015263076,1,0,0,0
20131214092718.daq,104,2,62.3,-1,0,left,-15.5098760924271,-140.479675292969,12,-0.00949460332798775,19.1955623626709,10.4936457092208,241.961166381836,0.444954037666321,-0.0952129811048508,-6.22164776577416,-45540.5144106094,-63025.3786064725,-45542.0814850723,-63023.4789664932,-45543.6485595353,-63021.5793265139,0,1,0,1
20131214092718.daq,104,2,62.4,-1,0,left,-15.2955182438385,-143.6279296875,12,-0.00909790400673056,19.7727279663086,13.3519282100938,249.60758972168,0.443066716194153,-0.123688198626041,-6.81299090718094,-45543.0114547936,-63027.0501475347,-45544.471836412,-63025.0673111945,-45545.9322180304,-63023.0844748543,0,1,0,1
20131214092718.daq,104,2,62.5,-1,0,left,-15.0090266788986,-146.950119018555,12,-0.00869795314392914,20.2941379547119,16.2907826621031,258.088958740234,0.443401128053665,-0.190130293369293,-7.40900378515263,-45545.6720278088,-63028.6232340687,-45547.0150485114,-63026.5590999123,-45548.358069214,-63024.4949657559,0,1,0,1
20131214092718.daq,104,2,62.6,-1,0,left,-14.6293467925773,-150.535308837891,12,-0.00829754477206576,20.7527446746826,19.3018301632687,265.691467285156,0.442314743995667,-0.0952129811048508,-8.00566473667341,-45548.4912006845,-63030.0733623094,-45549.7025174417,-63027.9292853198,-45550.9138341989,-63025.7852083303,0,1,0,1
20131214092718.daq,104,2,62.7,-1,0,left,-14.0284749448386,-154.304962158203,12,-0.00789916440347785,21.154260635376,22.3754318396691,268.899444580078,0.44220769405365,-0.0572461001574993,-8.59165156989227,-45551.4663121529,-63031.3746770818,-45552.5340449295,-63029.1556004402,-45553.6017777061,-63026.9365237986,0,1,0,1
20131214092718.daq,104,2,62.8,-1,0,left,-13.5372698117944,-158.19091796875,12,-0.00750499545626688,21.531364440918,25.5059135048423,266.570343017578,0.442377686500549,-0.0287711136043072,-9.15738761932172,-45554.5801228227,-63032.505908674,-45555.4950123332,-63030.2195728266,-45556.4099018436,-63027.9332369792,0,1,0,1
20131214092718.daq,104,2,62.9,-2,0,left,-12.9509658617688,-162.126724243164,12,-0.0071169448793579,21.8956756591797,28.6906960021975,262.219787597656,0.446680217981339,-0.00978755950927734,-9.69922131364748,-45557.8122446533,-63033.4467429588,-45558.5680451941,-63031.103002366,-45559.3238457349,-63028.7592617733,0,1,0,1
20131214092718.daq,104,2,63,-2,0,left,-11.4509376782641,-166.064697265625,12,-0.00673667503394122,22.2502708435059,31.9281661582922,256.682739257813,0.462326556444168,-0.038262777030468,-10.2303822444577,-45561.1477834099,-63034.1806988506,-45561.7408396027,-63031.7905861387,-45562.3338957955,-63029.4004734268,0,1,0,1
20131214092718.daq,104,2,63.1,-2,0,left,-10.0683898925781,-169.931610107422,12,-0.006365630217932,22.6042137145996,35.2173997885579,243.147674560547,0.49156191945076,0.028179319575429,-10.7090084361791,-45564.575587783,-63034.7089736673,-45565.00610668,-63032.2843071123,-45565.436625577,-63029.8596405574,0,1,0,1
20131214092718.daq,104,2,63.2,1,0,left,-6.3463134765625,-173.653686523438,12,-0.00600505705351078,22.9749755859375,38.5595925235598,224.119491577148,0.494140714406967,-0.019279221072793,-11.0178744779782,-45568.073967612,-63035.0178724391,-45568.3461767971,-63032.5703723711,-45568.6183859823,-63030.1228723031,0,1,0,1
20131214092718.daq,104,2,63.3,1,0,left,-2.85430908203125,-177.145690917969,12,-0.00565604304671912,23.3762359619141,41.9582672866145,197.444869995117,0.492713123559952,-0.019279221072793,-11.1238488653138,-45571.6338620951,-63035.1261131378,-45571.7564904791,-63032.6665772664,-45571.8791188631,-63030.207041395,0,1,0,1
20131214092718.daq,104,2,63.4,1,0,left,0.253204345703125,-180.253204345703,12,-0.00531955080096841,23.8159828186035,45.418547889009,158.94905090332,0.493395000696182,-0.0287711136043072,-11.0452805104689,-45575.238025111,-63035.0452750071,-45575.2271423424,-63032.582708056,-45575.2162595737,-63030.1201411049,0,1,1,1
20131214092718.daq,104,2,63.5,1,0,left,2.652587890625,-182.652587890625,12,-0.00499643749133317,24.2961597442627,48.9463585160806,107.313682556152,0.492681384086609,-0.000295897567411885,-10.8135850350407,-45578.8752619048,-63034.8135436891,-45578.7612935483,-63032.3535913243,-45578.6473251918,-63029.8936389595,0,1,1,1
20131214092718.daq,104,2,63.6,1,0,left,4.0950927734375,-184.095092773438,12,-0.00468745763655671,24.7955436706543,52.5463929409566,54.1402359008789,0.493059664964676,-0.038262777030468,-10.4802906866739,-45582.5421360528,-63034.4802905889,-45582.3662774651,-63032.023986825,-45582.1904188773,-63029.5676830611,0,1,1,1
20131214092718.daq,104,2,63.7,1,0,left,4.66372680664063,-184.663726806641,12,-0.00439322795716358,25.2874851226807,56.2193302448718,14.3700141906738,0.493954300880432,0.0471626408398151,-10.0965329113159,-45586.2330792071,-63034.0965324743,-45586.0328520047,-63031.6420949642,-45585.8326248024,-63029.1876574541,0,1,1,1
20131214092718.daq,104,2,63.8,1,0,left,4.73590087890625,-184.735900878906,12,-0.0041141540148963,25.7646770477295,59.9632977441784,-0.659174978733063,0.495748162269592,-0.0287711136043072,-9.72090646455821,-45589.964950944,-63033.7208485467,-45589.7616321073,-63031.2666652051,-45589.5583132706,-63028.8124818635,0,1,1,1
20131214092718.daq,104,2,63.9,1,0,left,4.72894287109375,-184.728942871094,12,-0.00385035695533465,26.236421585083,63.7767390070658,2.59275484085083,0.49427792429924,-0.123688198626041,-9.37754784129171,-45593.7695034396,-63033.3775411439,-45593.5664826408,-63030.9233331294,-45593.3634618419,-63028.4691251148,0,1,1,1
20131214092718.daq,104,2,64,1,0,left,4.77969360351563,-184.779693603516,12,-0.00360165322610087,26.7049694061279,67.6591835955196,5.09761953353882,0.478947758674622,-0.0572461001574993,-9.06573195908877,-45597.6454869088,-63033.0657187759,-45597.4402923325,-63030.6116915533,-45597.2350977562,-63028.1576643307,0,1,1,1
20131214092718.daq,104,2,64.1,1,0,left,4.82470703125,-184.82470703125,12,-0.00336760636664147,27.1661338806152,71.6098340261919,2.46091985702515,0.48014822602272,-0.038262777030468,-8.75823823017167,-45601.5916693047,-63032.7581669209,-45601.3845468283,-63030.3043016632,-45601.1774243519,-63027.8504364054,0,1,1,1
20131214092718.daq,104,2,64.2,1,0,left,4.82144165039063,-184.821441650391,12,-0.00314762830904918,27.6198215484619,75.6275627165128,-0.395504981279373,0.480394572019577,-0.0287711136043072,-8.43814414263744,-45605.5994187761,-63032.438062231,-45605.3924361498,-63029.984185173,-45605.1854535236,-63027.530308115,0,1,1,1
20131214092718.daq,104,2,64.3,1,0,left,4.75946044921875,-184.759460449219,12,-0.00294107535802038,28.0669994354248,79.7113453564784,-4.35055494308472,0.481351584196091,-0.0287711136043072,-8.09440050957288,-45609.668532665,-63032.0943498063,-45609.4642047047,-63029.6402502753,-45609.2598767445,-63027.1861507443,0,1,1,1
20131214092718.daq,104,2,64.4,1,0,left,4.64764404296875,-184.647644042969,12,-0.00274730513060798,28.5085830688477,83.8603040593357,-7.03119945526123,0.481400460004807,-0.0477544367313385,-7.74208659359641,-45613.7991720376,-63031.7420863262,-45613.5996337968,-63029.2875927096,-45613.4000955561,-63026.833099093,0,1,1,1
20131214092718.daq,104,2,64.5,1,0,left,4.52239990234375,-184.522399902344,12,-0.00256568728876372,28.9439735412598,88.0735739931019,-6.5478048324585,0.480053901672363,-0.0572461001574993,-7.39075674894509,-45617.9959402219,-63031.3906717967,-45617.8017677867,-63028.9357478694,-45617.6075953515,-63026.4808239421,0,1,1,1
20131214092718.daq,104,2,64.6,1,0,left,4.41241455078125,-184.412414550781,12,-0.00239559176787654,29.3732070922852,92.3502548681026,-4.65816974639893,0.479200690984726,-0.0667379945516586,-7.05391525233063,-45622.2554926187,-63031.0539079923,-45622.0660330263,-63028.5986158536,-45621.8765734339,-63026.143323715,0,1,1,1
20131214092718.daq,104,2,64.7,1,0,left,4.3349609375,-184.3349609375,12,-0.00223638245388963,29.7963943481445,96.6894320577271,-2.81247973442078,0.480236887931824,0.028179319575429,-6.72288792661899,-45626.5781777393,-63030.7228877922,-45626.3920374334,-63028.2673417816,-45626.2058971276,-63025.8117957711,0,1,1,1
20131214092718.daq,104,2,64.8,1,0,left,4.23526000976563,-184.235260009766,12,-0.0020874270423161,30.2136383056641,101.09024893585,-6.15229988098145,0.479680687189102,0.00919576361775398,-6.4010896960784,-45630.9668188163,-63030.4010894481,-45630.7849517089,-63027.9452232509,-45630.6030846016,-63025.4893570537,0,1,1,1
20131214092718.daq,104,2,64.9,1,0,left,4.06106567382813,-184.061065673828,12,-0.00194811497291041,30.6251831054688,105.551839971124,-10.063404083252,0.478310018777847,-0.00978755950927734,-6.08012931650644,-45635.4125449086,-63030.0801036136,-45635.2381451135,-63027.6236958432,-45635.0637453185,-63025.1672880727,0,1,1,1
20131214092718.daq,104,2,65,1,0,left,3.84442138671875,-183.844421386719,12,-0.00181787225341816,31.0313205718994,110.073381757154,-10.7225790023804,0.480222344398499,-0.00978755950927734,-5.76573747699025,-45639.9159667874,-63029.7657008221,-45639.7508562782,-63027.3086511802,-45639.585745769,-63024.8516015382,0,1,1,1
20131214092718.daq,104,2,65.1,1,0,left,3.56710815429688,-183.567108154297,12,-0.00169616386075744,31.4333267211914,114.65418810252,-14.7215747833252,0.479894638061523,0.028179319575429,-5.46306023815457,-45644.4766772083,-63029.4629288942,-45644.323460778,-63027.0051088949,-45644.1702443477,-63024.5472888956,0,0,1,0
20131214092718.daq,104,2,65.2,1,0,left,3.21536254882813,-183.215362548828,12,-0.00158248153028371,31.8313694000244,119.293648696655,-18.017448425293,0.478818863630295,0.0471626408398151,-5.18447753488091,-45649.0982368165,-63029.1843561924,-45648.960112028,-63026.7256419011,-45648.8219872396,-63024.2669276098,0,0,1,0
20131214092718.daq,104,2,65.3,1,0,left,2.823486328125,-182.823486328125,12,-0.00147633264879555,32.226203918457,123.991247969337,-18.017448425293,0.479758352041245,0.028179319575429,-4.93174428250283,-45653.7734853629,-63028.9317011175,-45653.6521801249,-63026.472099633,-45653.5308748869,-63024.0124981484,0,0,1,0
20131214092718.daq,104,2,65.4,1,0,left,2.43084716796875,-182.430847167969,12,-0.00137723654301543,32.6192207336426,128.746617752699,-16.8309345245361,0.480173230171204,-0.019279221072793,-4.71032388305873,-45658.5071422571,-63028.7102862851,-45658.402695006,-63026.249911274,-45658.2982477549,-63023.7895362629,0,0,1,0
20131214092718.daq,104,2,65.5,1,0,left,2.06338500976563,-182.063385009766,12,-0.00128472742132776,33.010368347168,133.559480656162,-15.3807497024536,0.483208626508713,0.00919576361775398,-4.51848788711713,-45663.303693128,-63028.5184855206,-45663.2150273462,-63026.0574912494,-45663.1263615645,-63023.5964969783,0,0,1,0
20131214092718.daq,104,2,65.6,1,0,left,1.720458984375,-181.720458984375,12,-0.00119836030949031,33.3999900817871,138.429598989636,-14.5018491744995,0.481975704431534,0.028179319575429,-4.35635304436228,-45668.1553416297,-63028.3563486514,-45668.081406862,-63025.8948677814,-45668.0074720944,-63023.4333869114,0,0,1,0
20131214092718.daq,104,2,65.7,1,0,left,1.39483642578125,-181.394836425781,12,-0.0011177161752199,33.7893600463867,143.356835305029,-13.5790042877197,0.482439875602722,-0.00978755950927734,-4.21652840614622,-45673.0697612549,-63028.2165234576,-45673.009816659,-63025.7546621559,-45672.9498720631,-63023.2928008542,0,0,1,0
